lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
2043SBC01_blue_md,,19.5,20,0.19,,24,25,0.24
2043SBC01_blue_lg,,19.5,20,0.19,,24,25,0.24
2043SCC01_blue_sm,,19.5,20,0.19,,24,25,0.24
2043SCC01_blue_md,,19.5,20,0.19,,24,25,0.24
2043SCC01_blue_lg,,19.5,20,0.19,,24,25,0.24
2111SOB01_purple_sm,,19.5,20,0.19,,24,25,0.24
2111SOB01_purple_md,,19.5,20,0.19,,24,25,0.24
2111SOB01_purple_lg,,19.5,20,0.19,,24,25,0.24
2111SOC01_purple_sm,,19.5,20,0.19,,24,25,0.24
2111SOC01_purple_md,,19.5,20,0.19,,24,25,0.24
2111SOC01_purple_lg,,19.5,20,0.19,,24,25,0.24
2122SOB01_blue_sm,,19.5,20,0.19,,24,25,0.24
2122SOB01_blue_md,,19.5,20,0.19,,24,25,0.24
2122SOB01_blue_lg,,19.5,20,0.19,,24,25,0.24
2122SOC01_blue_sm,,19.5,20,0.19,,24,25,0.24
2122SOC01_blue_md,,19.5,20,0.19,,24,25,0.24
2122SOC01_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SAC03_purple_sm,,19.5,20,0.19,,24,25,0.24
3007SAC03_purple_md,,19.5,20,0.19,,24,25,0.24
3007SAC03_purple_lg,,19.5,20,0.19,,24,25,0.24
3007SBC03_purple_sm,,19.5,20,0.19,,24,25,0.24
3007SBC03_purple_md,,19.5,20,0.19,,24,25,0.24
3007SBC03_purple_lg,,19.5,20,0.19,,24,25,0.24
3007SCC03_purple_sm,,19.5,20,0.19,,24,25,0.24
3007SCC03_purple_md,,19.5,20,0.19,,24,25,0.24
3007SCC03_purple_lg,,19.5,20,0.19,,24,25,0.24
3007SDC03_purple_sm,,19.5,20,0.19,,24,25,0.24
3007SDC03_purple_md,,19.5,20,0.19,,24,25,0.24
3007SDC03_purple_lg,,19.5,20,0.19,,24,25,0.24
3007SAC04_red_sm,,19.5,20,0.19,,24,25,0.24
3007SAC04_red_md,,19.5,20,0.19,,24,25,0.24
3007SAC04_red_lg,,19.5,20,0.19,,24,25,0.24
3007SBC04_red_sm,,19.5,20,0.19,,24,25,0.24
3007SBC04_red_md,,19.5,20,0.19,,24,25,0.24
3007SBC04_red_lg,,19.5,20,0.19,,24,25,0.24
3007SCC04_red_sm,,19.5,20,0.19,,24,25,0.24
3007SCC04_red_md,,19.5,20,0.19,,24,25,0.24
3007SCC04_red_lg,,19.5,20,0.19,,24,25,0.24
3007SDC04_red_sm,,19.5,20,0.19,,24,25,0.24
3007SDC04_red_md,,19.5,20,0.19,,24,25,0.24
3007SDC04_red_lg,,19.5,20,0.19,,24,25,0.24
2062SBC03_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SBC03_blue_md,,19.5,20,0.19,,24,25,0.24
2062SBC03_blue_lg,,19.5,20,0.19,,24,25,0.24
2062SCC03_blue_sm,,19.5,20,0.19,,24,25,0.24
2062SCC03_blue_md,,19.5,20,0.19,,24,25,0.24
2062SCC03_blue_lg,,19.5,20,0.19,,24,25,0.24
2041SAC01_wine_sm,,19.5,20,0.19,,24,25,0.24
2041SAC01_wine_md,,19.5,20,0.19,,24,25,0.24
2041SAC01_wine_lg,,19.5,20,0.19,,24,25,0.24
2041SBC01_wine_sm,,19.5,20,0.19,,24,25,0.24
2041SBC01_wine_md,,19.5,20,0.19,,24,25,0.24
2041SBC01_wine_lg,,19.5,20,0.19,,24,25,0.24
3007SBC05_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SBC05_blue_md,,19.5,20,0.19,,24,25,0.24
3007SBC05_blue_lg,,19.5,20,0.19,,24,25,0.24
3007SCC05_blue_sm,,19.5,20,0.19,,24,25,0.24
3007SCC05_blue_md,,19.5,20,0.19,,24,25,0.24
3007SCC05_blue_lg,,19.5,20,0.19,,24,25,0.24
2119SOH01_purple_sm,,19.5,20,0.19,,24,25,0.24
2119SOH01_purple_md,,19.5,20,0.19,,24,25,0.24
2119SOH01_purple_lg,,19.5,20,0.19,,24,25,0.24
2119SOR01_purple_sm,,19.5,20,0.19,,24,25,0.24
2119SOR01_purple_md,,19.5,20,0.19,,24,25,0.24
2119SOR01_purple_lg,,19.5,20,0.19,,24,25,0.24
3050SOH01_blue_sm,,19.5,20,0.19,,24,25,0.24
3050SOH01_blue_md,,19.5,20,0.19,,24,25,0.24
3050SOH01_blue_lg,,19.5,20,0.19,,24,25,0.24
3050SOR01_blue_sm,,19.5,20,0.19,,24,25,0.24
3050SOR01_blue_md,,19.5,20,0.19,,24,25,0.24
3050SOR01_blue_lg,,19.5,20,0.19,,24,25,0.24
2130SCC01_blue_sm,,19.5,20,0.19,,24,25,0.24
2130SCC01_blue_md,,19.5,20,0.19,,24,25,0.24
2130SCC01_blue_lg,,19.5,20,0.19,,24,25,0.24
