Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,variation_children_code
2172SDC01-red,Colour,2172SDC01-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517801487/Summer2018/2172SDC01_red_2.jpg,2172SDC01_red_2,,https://res.cloudinary.com/maaji/image/upload/v1517880543/Summer2018/2170SSE01_2172SDC01_red_4.jpg,2172SDC01_red_4,,,,,,,,,,,red,2172SDC01-red-xs|2172SDC01-red-sm|2172SDC01-red-md|2172SDC01-red-lg|2172SDC01-red-xl
2173SFA01-black,Colour,2173SFA01-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522525/Summer2018/2173SFA01_black_1.jpg,2173SFA01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522527/Summer2018/2173SFA01_black_2.jpg,2173SFA01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522459/Summer2018/2173SFA01_1943SBC04_black_3.jpg,2173SFA01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522459/Summer2018/2173SFA01_1943SCC04_black_4.jpg,2173SFA01_black_4,,,,,black,2173SFA01-black-xs|2173SFA01-black-sm|2173SFA01-black-md|2173SFA01-black-lg|2173SFA01-black-xl
2174SLT01-black,Colour,2174SLT01-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517589353/Summer2018/2174SLT01_black_1.jpg,2174SLT01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517589359/Summer2018/2174SLT01_black_2.jpg,2174SLT01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522460/Summer2018/2174SLT01_1372CSH02_black_3.jpg,2174SLT01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522460/Summer2018/2174SLT01_1372CSH02_black_4.jpg,2174SLT01_black_4,,https://res.cloudinary.com/maaji/image/upload/v1517522461/Summer2018/2174SLT01_2061SBC03_black_3.jpg,2174SLT01_black_3,,black,2174SLT01-black-xs|2174SLT01-black-sm|2174SLT01-black-md|2174SLT01-black-lg|2174SLT01-black-xl
2175SFA01-black,Colour,2175SFA01-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517882877/Summer2018/2175SFA01_black_1.jpg,2175SFA01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517882872/Summer2018/2175SFA01_black_2.jpg,2175SFA01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522463/Summer2018/2175SFA01_2047SCC05_black_3.jpg,2175SFA01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522464/Summer2018/2175SFA01_2047SCC05_black_4.jpg,2175SFA01_black_4,,,,,black,2175SFA01-black-xs|2175SFA01-black-sm|2175SFA01-black-md|2175SFA01-black-lg|2175SFA01-black-xl
2176SRA01-black,Colour,2176SRA01-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517925549/Summer2018/2176SRA01_black_1.jpg,2176SRA01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517925549/Summer2018/2176SRA01_black_2.jpg,2176SRA01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522466/Summer2018/2176SRA01_black_3.jpg,2176SRA01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522466/Summer2018/2176SRA01_black_4.jpg,2176SRA01_black_4,,,,,black,2176SRA01-black-xs|2176SRA01-black-sm|2176SRA01-black-md|2176SRA01-black-lg|2176SRA01-black-xl
2177SFA01-blue,Colour,2177SFA01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517933990/Summer2018/2177SFA01_blue_1.jpg,2177SFA01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517933990/Summer2018/2177SFA01_blue_2.jpg,2177SFA01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517782764/Summer2018/2177SFA01_2043SAC07_blue_3.jpg,2177SFA01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517782763/Summer2018/2177SFA01_2043SBC07_blue_4.jpg,2177SFA01_blue_4,,,,,blue,2177SFA01-blue-xs|2177SFA01-blue-sm|2177SFA01-blue-md|2177SFA01-blue-lg|2177SFA01-blue-xl
2178SUN01-blue,Colour,2178SUN01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517934434/Summer2018/2178SUN01_blue_1.jpg,2178SUN01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517934433/Summer2018/2178SUN01_blue_2.jpg,2178SUN01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517782179/Summer2018/2178SUN01_2043SAC08_blue_3.jpg,2178SUN01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517782178/Summer2018/2178SUN01_2043SBC08_blue_4.jpg,2178SUN01_blue_4,,,,,blue,2178SUN01-blue-xs|2178SUN01-blue-sm|2178SUN01-blue-md|2178SUN01-blue-lg|2178SUN01-blue-xl
2179SSE01-blue,Colour,2179SSE01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517934928/Summer2018/2179SSE01_blue_1.jpg,2179SSE01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517934926/Summer2018/2179SSE01_blue_2.jpg,2179SSE01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517934845/Summer2018/2179SSE01_2061SBC05_blue_3.jpg,2179SSE01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517842170/Summer2018/2179SSE01_2061SDC05_blue_4.jpg,2179SSE01_blue_4,,,,,blue,2179SSE01-blue-xs|2179SSE01-blue-sm|2179SSE01-blue-md|2179SSE01-blue-lg|2179SSE01-blue-xl
2180SFT01-blue,Colour,2180SFT01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517935364/Summer2018/2180SFT01_blue_1.jpg,2180SFT01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517935363/Summer2018/2180SFT01_blue_2.jpg,2180SFT01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517838195/Summer2018/2180SFT01_2061SBC04_blue_3.jpg,2180SFT01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517838195/Summer2018/2180SFT01_2061SCC04_blue_4.jpg,2180SFT01_blue_4,,,,,blue,2180SFT01-blue-xs|2180SFT01-blue-sm|2180SFT01-blue-md|2180SFT01-blue-lg|2180SFT01-blue-xl
2181SBA01-blue,Colour,2181SBA01-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_5.jpg,2181SBA01_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517935711/Summer2018/2181SBA01_blue_2.jpg,2181SBA01_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_1.jpg,2181SBA01_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1517935710/Summer2018/2181SBA01_blue_6.jpg,2181SBA01_blue_6,,https://res.cloudinary.com/maaji/image/upload/v1517843492/Summer2018/2181SBA01_2062SBC11_blue_5.jpg,2181SBA01_blue_5,,blue,2181SBA01-blue-xs|2181SBA01-blue-sm|2181SBA01-blue-md|2181SBA01-blue-lg|2181SBA01-blue-xl
