lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2113SFT01_red_sm,Size,2113SFT01_red_sm,active,Maaji,PEQUEÑO,7702781002909,PEQUEÑO,121000,COP Price
2113SFT01_red_md,Size,2113SFT01_red_md,active,Maaji,MEDIO,7702781002916,MEDIO,121000,COP Price
2113SFT01_red_lg,Size,2113SFT01_red_lg,active,Maaji,GRANDE,7702781002923,GRANDE,121000,COP Price
2113SFT01_red_xl,Size,2113SFT01_red_xl,active,Maaji,EXTRA GRANDE,7702781002930,EXTRA GRANDE,121000,COP Price
3045SFT01_wine_sm,Size,3045SFT01_wine_sm,active,Maaji,PEQUEÑO,7702781002855,PEQUEÑO,126000,COP Price
3045SFT01_wine_md,Size,3045SFT01_wine_md,active,Maaji,MEDIO,7702781002862,MEDIO,126000,COP Price
3045SFT01_wine_lg,Size,3045SFT01_wine_lg,active,Maaji,GRANDE,7702781002879,GRANDE,126000,COP Price
3045SFT01_wine_xl,Size,3045SFT01_wine_xl,active,Maaji,EXTRA GRANDE,7702781002886,EXTRA GRANDE,126000,COP Price
2112SFA01_red_sm,Size,2112SFA01_red_sm,active,Maaji,PEQUEÑO,7702781002657,PEQUEÑO,137000,COP Price
2112SFA01_red_md,Size,2112SFA01_red_md,active,Maaji,MEDIO,7702781002664,MEDIO,137000,COP Price
2112SFA01_red_lg,Size,2112SFA01_red_lg,active,Maaji,GRANDE,7702781002671,GRANDE,137000,COP Price
2112SFA01_red_xl,Size,2112SFA01_red_xl,active,Maaji,EXTRA GRANDE,7702781002688,EXTRA GRANDE,137000,COP Price
2115SSE01_wine_sm,Size,2115SSE01_wine_sm,active,Maaji,PEQUEÑO,7702781003005,PEQUEÑO,126000,COP Price
2115SSE01_wine_md,Size,2115SSE01_wine_md,active,Maaji,MEDIO,7702781003012,MEDIO,126000,COP Price
2115SSE01_wine_lg,Size,2115SSE01_wine_lg,active,Maaji,GRANDE,7702781003029,GRANDE,126000,COP Price
2115SSE01_wine_xl,Size,2115SSE01_wine_xl,active,Maaji,EXTRA GRANDE,7702781003036,EXTRA GRANDE,126000,COP Price
3047SFH01_red_sm,Size,3047SFH01_red_sm,active,Maaji,PEQUEÑO,7702781003159,PEQUEÑO,126000,COP Price
3047SFH01_red_md,Size,3047SFH01_red_md,active,Maaji,MEDIO,7702781003166,MEDIO,126000,COP Price
3047SFH01_red_lg,Size,3047SFH01_red_lg,active,Maaji,GRANDE,7702781003173,GRANDE,126000,COP Price
3047SFH01_red_xl,Size,3047SFH01_red_xl,active,Maaji,EXTRA GRANDE,7702781003180,EXTRA GRANDE,126000,COP Price
2117SSP01_wine_sm,Size,2117SSP01_wine_sm,active,Maaji,PEQUEÑO,7702781002954,PEQUEÑO,126000,COP Price
