lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
1513CLS01_blue_md,,23,23,0.22,,27,27,0.25
1513CLS01_blue_lg,,23,23,0.22,,27,27,0.25
1514CSD01_blue_sm,,23,23,0.22,,27,27,0.25
1514CSD01_blue_md,,23,23,0.22,,27,27,0.25
1514CSD01_blue_lg,,23,23,0.22,,27,27,0.25
1516CCT01_blue_sm,,23,23,0.22,,27,27,0.25
1516CCT01_blue_md,,23,23,0.22,,27,27,0.25
1516CCT01_blue_lg,,23,23,0.22,,27,27,0.25
1518CSD01_wine_sm,,23,23,0.22,,27,27,0.25
1518CSD01_wine_md,,23,23,0.22,,27,27,0.25
1518CSD01_wine_lg,,23,23,0.22,,27,27,0.25
1519CCT01_purple_sm,,23,23,0.22,,27,27,0.25
1519CCT01_purple_md,,23,23,0.22,,27,27,0.25
1519CCT01_purple_lg,,23,23,0.22,,27,27,0.25
2173SFA01_blue_sm,,23,23,0.22,,27,27,0.25
2173SFA01_blue_md,,23,23,0.22,,27,27,0.25
2173SFA01_blue_lg,,23,23,0.22,,27,27,0.25
2174SLT01_blue_sm,,23,23,0.22,,27,27,0.25
2174SLT01_blue_md,,23,23,0.22,,27,27,0.25
2174SLT01_blue_lg,,23,23,0.22,,27,27,0.25
2174SLT01_blue_xl,,23,23,0.22,,27,27,0.25
2175SFA01_white_sm,,17,17,0.19,,20,20,0.21
2175SFA01_white_md,,17,17,0.19,,20,20,0.21
2175SFA01_white_lg,,17,17,0.19,,20,20,0.21
2175SFA01_white_xl,,17,17,0.19,,20,20,0.21
2176SRA01_black_sm,,17,17,0.19,,20,20,0.21
2176SRA01_black_md,,17,17,0.19,,20,20,0.21
2176SRA01_black_lg,,17,17,0.19,,20,20,0.21
2176SRA01_black_xl,,17,17,0.19,,20,20,0.21
2177SFA01_blue_sm,,17,17,0.19,,20,20,0.21
2177SFA01_blue_md,,17,17,0.19,,20,20,0.21
2177SFA01_blue_lg,,17,17,0.19,,20,20,0.21
2177SFA01_blue_xl,,17,17,0.19,,20,20,0.21
2178SUN01_blue_sm,,17,17,0.19,,20,20,0.21
2178SUN01_blue_md,,17,17,0.19,,20,20,0.21
2178SUN01_blue_lg,,17,17,0.19,,20,20,0.21
2178SUN01_blue_xl,,17,17,0.19,,20,20,0.21
2179SSE01_blue_sm,,17,17,0.19,,20,20,0.21
2179SSE01_blue_md,,17,17,0.19,,20,20,0.21
2179SSE01_blue_lg,,17,17,0.19,,20,20,0.21
2179SSE01_blue_xl,,17,17,0.19,,20,20,0.21
2180SFT01_blue_sm,,17,17,0.19,,20,20,0.21
2180SFT01_blue_md,,17,17,0.19,,20,20,0.21
2180SFT01_blue_lg,,17,17,0.19,,20,20,0.21
2180SFT01_blue_xl,,17,17,0.19,,20,20,0.21
2181SBA01_blue_sm,,17,17,0.19,,20,20,0.21
2181SBA01_blue_md,,17,17,0.19,,20,20,0.21
2181SBA01_blue_lg,,17,17,0.19,,20,20,0.21
2181SBA01_blue_xl,,17,17,0.19,,20,20,0.21
2183SCT01_orange_sm,,17,17,0.19,,20,20,0.21
2183SCT01_orange_md,,17,17,0.19,,20,20,0.21
2183SCT01_orange_lg,,17,17,0.19,,20,20,0.21
2183SCT01_orange_xl,,17,17,0.19,,20,20,0.21
2184SBA01_orange_sm,,17,17,0.19,,20,20,0.21
2184SBA01_orange_md,,17,17,0.19,,20,20,0.21
2184SBA01_orange_lg,,17,17,0.19,,20,20,0.21
2184SBA01_orange_xl,,17,17,0.19,,20,20,0.21
2186SSP01_orange_sm,,17,17,0.19,,20,20,0.21
2186SSP01_orange_md,,17,17,0.19,,20,20,0.21
2186SSP01_orange_lg,,17,17,0.19,,20,20,0.21
2187SSF01_orange_sm,,17,17,0.19,,20,20,0.21
2187SSF01_orange_md,,17,17,0.19,,20,20,0.21
2187SSF01_orange_lg,,17,17,0.19,,20,20,0.21
2187SSF01_orange_xl,,17,17,0.19,,20,20,0.21
3008SCC02_brown_sm,,17,17,0.19,,20,20,0.21
3008SCC02_brown_md,,17,17,0.19,,20,20,0.21
3008SCC02_brown_lg,,17,17,0.19,,20,20,0.21
3008SCC02_brown_xl,,17,17,0.19,,20,20,0.21
3011SHN01_pink_sm,,17,17,0.19,,20,20,0.21
3011SHN01_pink_md,,17,17,0.19,,20,20,0.21
3011SHN01_pink_lg,,17,17,0.19,,20,20,0.21
3011SHN01_pink_xl,,17,17,0.19,,20,20,0.21
3012SFH05_blue_sm,,17,17,0.19,,20,20,0.21
3012SFH05_blue_md,,17,17,0.19,,20,20,0.21
3012SFH05_blue_lg,,17,17,0.19,,20,20,0.21
3042SFH02_red_sm,,17,17,0.19,,20,20,0.21
3042SFH02_red_md,,17,17,0.19,,20,20,0.21
3042SFH02_red_lg,,17,17,0.19,,20,20,0.21
3042SFH02_red_xl,,17,17,0.19,,20,20,0.21
3042SFH03_purple_sm,,17,17,0.19,,20,20,0.21
3042SFH03_purple_md,,17,17,0.19,,20,20,0.21
3042SFH03_purple_lg,,17,17,0.19,,20,20,0.21
3042SFH03_purple_xl,,17,17,0.19,,20,20,0.21
3045SFT04_pink_sm,,17,17,0.19,,20,20,0.21
3045SFT04_pink_md,,17,17,0.19,,20,20,0.21
3045SFT04_pink_lg,,17,17,0.19,,20,20,0.21
3045SFT04_pink_xl,,17,17,0.19,,20,20,0.21
3048SUN04_blue_sm,,17,17,0.19,,20,20,0.21
3048SUN04_blue_md,,17,17,0.19,,20,20,0.21
3048SUN04_blue_lg,,17,17,0.19,,20,20,0.21
3048SUN04_blue_xl,,17,17,0.19,,20,20,0.21
3053SFA05_blue_sm,,17,17,0.19,,20,20,0.21
3053SFA05_blue_md,,17,17,0.19,,20,20,0.21
3053SFA05_blue_lg,,17,17,0.19,,20,20,0.21
3053SFA05_blue_xl,,17,17,0.19,,20,20,0.21
3054SFA03_blue_sm,,17,17,0.19,,20,20,0.21
3054SFA03_blue_md,,17,17,0.19,,20,20,0.21
3054SFA03_blue_lg,,17,17,0.19,,20,20,0.21
3054SFA03_blue_xl,,17,17,0.19,,20,20,0.21
3063SBR01_white_sm,,17,17,0.19,,20,20,0.21
3063SBR01_white_md,,17,17,0.19,,20,20,0.21
3063SBR01_white_lg,,17,17,0.19,,20,20,0.21
3063SBR01_white_xl,,17,17,0.19,,20,20,0.21
3063SBR02_orange_sm,,17,17,0.19,,20,20,0.21
3063SBR02_orange_md,,17,17,0.19,,20,20,0.21
3063SBR02_orange_lg,,17,17,0.19,,20,20,0.21
3066SUN01_black_sm,,17,17,0.19,,20,20,0.21
3066SUN01_black_md,,17,17,0.19,,20,20,0.21
3066SUN01_black_lg,,17,17,0.19,,20,20,0.21
3066SUN01_black_xl,,17,17,0.19,,20,20,0.21
3068SSP01_black_sm,,17,17,0.19,,20,20,0.21
3068SSP01_black_md,,17,17,0.19,,20,20,0.21
3068SSP01_black_lg,,17,17,0.19,,20,20,0.21
3068SSP01_black_xl,,17,17,0.19,,20,20,0.21
3068SSP02_orange_sm,,17,17,0.19,,20,20,0.21
3068SSP02_orange_md,,17,17,0.19,,20,20,0.21
