lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2166SOH01_red_xs,Size,2166SOH01_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,265000,COP Price
2166SOH01_red_sm,Size,2166SOH01_red_sm,active,Maaji,7.7E+17,SMALL,265000,COP Price
2166SOH01_red_md,Size,2166SOH01_red_md,active,Maaji,7.7E+17,MEDIUM,265000,COP Price
2166SOH01_red_lg,Size,2166SOH01_red_lg,active,Maaji,7.7E+17,LARGE,265000,COP Price
2166SOH01_red_xl,Size,2166SOH01_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,265000,COP Price
2043SBC05_red_xs,Size,2043SBC05_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2043SBC05_red_sm,Size,2043SBC05_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2043SBC05_red_md,Size,2043SBC05_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2043SBC05_red_lg,Size,2043SBC05_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2043SBC05_red_xl,Size,2043SBC05_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2043SCC05_red_xs,Size,2043SCC05_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2043SCC05_red_sm,Size,2043SCC05_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2043SCC05_red_md,Size,2043SCC05_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2043SCC05_red_lg,Size,2043SCC05_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2043SCC05_red_xl,Size,2043SCC05_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2168SBC01_red_xs,Size,2168SBC01_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2168SBC01_red_sm,Size,2168SBC01_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2168SBC01_red_md,Size,2168SBC01_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2168SBC01_red_lg,Size,2168SBC01_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2168SBC01_red_xl,Size,2168SBC01_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2168SCC01_red_xs,Size,2168SCC01_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2168SCC01_red_sm,Size,2168SCC01_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2168SCC01_red_md,Size,2168SCC01_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2168SCC01_red_lg,Size,2168SCC01_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2168SCC01_red_xl,Size,2168SCC01_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2062SBC09_red_xs,Size,2062SBC09_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2062SBC09_red_sm,Size,2062SBC09_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2062SBC09_red_md,Size,2062SBC09_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2062SBC09_red_lg,Size,2062SBC09_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2062SBC09_red_xl,Size,2062SBC09_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2062SCC09_red_xs,Size,2062SCC09_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2062SCC09_red_sm,Size,2062SCC09_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2062SCC09_red_md,Size,2062SCC09_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2062SCC09_red_lg,Size,2062SCC09_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2062SCC09_red_xl,Size,2062SCC09_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2024SAC05_red_xs,Size,2024SAC05_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2024SAC05_red_sm,Size,2024SAC05_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2024SAC05_red_md,Size,2024SAC05_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2024SAC05_red_lg,Size,2024SAC05_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2024SAC05_red_xl,Size,2024SAC05_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2024SBC05_red_xs,Size,2024SBC05_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2024SBC05_red_sm,Size,2024SBC05_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2024SBC05_red_md,Size,2024SBC05_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2024SBC05_red_lg,Size,2024SBC05_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2024SBC05_red_xl,Size,2024SBC05_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2061SBC02_red_xs,Size,2061SBC02_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2061SBC02_red_sm,Size,2061SBC02_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2061SBC02_red_md,Size,2061SBC02_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2061SBC02_red_lg,Size,2061SBC02_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2061SBC02_red_xl,Size,2061SBC02_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2061SCC02_red_xs,Size,2061SCC02_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2061SCC02_red_sm,Size,2061SCC02_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2061SCC02_red_md,Size,2061SCC02_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2061SCC02_red_lg,Size,2061SCC02_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2061SCC02_red_xl,Size,2061SCC02_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2172SBC01_red_xs,Size,2172SBC01_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2172SBC01_red_sm,Size,2172SBC01_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2172SBC01_red_md,Size,2172SBC01_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2172SBC01_red_lg,Size,2172SBC01_red_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2172SBC01_red_xl,Size,2172SBC01_red_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2172SDC01_red_xs,Size,2172SDC01_red_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2172SDC01_red_sm,Size,2172SDC01_red_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2172SDC01_red_md,Size,2172SDC01_red_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
