lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
2061SCC03_black,Colour,2061SCC03_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517839421/Summer2018/2061SBC03_2061SCC03_black_1.jpg,2061SCC03_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517841365/Summer2018/2061SBC03_2061SCC03_black_2.jpg,2016SCC03_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522460/Summer2018/2174SLT01_2061SCC03_black_4.jpg,2061SCC03_black_4,,,,,,,,,,,black,2061SCC03_black_xs|2061SCC03_black_sm|2061SCC03_black_md|2061SCC03_black_lg|2061SCC03_black_xl
2041SAC07_black,Colour,2041SAC07_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522519/Summer2018/2041SAC07_2041SBC07_black_1.jpg,2041SAC07_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522521/Summer2018/2041SBC07_2041SAC07_black_2.jpg,2041SAC07_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522444/Summer2018/1932SFT04_black_3.jpg,2047SAc07_black_3,,,,,,,,,,,black,2041SAC07_black_xs|2041SAC07_black_sm|2041SAC07_black_md|2041SAC07_black_lg|2041SAC07_black_xl
2041SBC07_black,Colour,2041SBC07_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522519/Summer2018/2041SAC07_2041SBC07_black_1.jpg,2041SBC07_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522521/Summer2018/2041SBC07_2041SAC07_black_2.jpg,2041SBC07_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522444/Summer2018/1932SFT04_2047SAC07_black_4.jpg,2047SBC07_black_4,,,,,,,,,,,black,2041SBC07_black_xs|2041SBC07_black_sm|2041SBC07_black_md|2041SBC07_black_lg|2041SBC07_black_xl
2047SBC05_black,Colour,2047SBC05_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517785871/Summer2018/2047SBC05_2047SCC05_black_1.jpg,2047SBC05_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517785863/Summer2018/2047SBC05_2047SCC05_black_2.jpg,2047SBC05_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522463/Summer2018/2175SFA01_2047SCC05_black_3.jpg,2047SBC05_black_3,,,,,,,,,,,black,2047SBC05_black_xs|2047SBC05_black_sm|2047SBC05_black_md|2047SBC05_black_lg|2047SBC05_black_xl
2047SCC05_black,Colour,2047SCC05_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517785871/Summer2018/2047SBC05_2047SCC05_black_1.jpg,2047SCC05_back_1,,https://res.cloudinary.com/maaji/image/upload/v1517785863/Summer2018/2047SBC05_2047SCC05_black_2.jpg,2047SCC05_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522464/Summer2018/2175SFA01_2047SCC05_black_4.jpg,2047SCC05_black_4,,,,,,,,,,,black,2047SCC05_black_xs|2047SCC05_black_sm|2047SCC05_black_md|2047SCC05_black_lg|2047SCC05_black_xl
3007SAC17_blue,Colour,3007SAC17_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC07_3007SDc17_blue_1.jpg,3007SAC17_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518032409/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_2.jpg,3007SAC17_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_5.jpg,3007SAC17_blue_5,,,,,,,,,,,blue,3007SAC17_blue_xs|3007SAC17_blue_sm|3007SAC17_blue_md|3007SAC17_blue_lg|3007SAC17_blue_xl
3007SBC17_blue,Colour,3007SBC17_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC07_3007SDc17_blue_1.jpg,3007SBC17_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518032409/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_2.jpg,3007SBC17_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_5.jpg,3007SBC17_blue_5,,,,,,,,,,,blue,3007SBC17_blue_xs|3007SBC17_blue_sm|3007SBC17_blue_md|3007SBC17_blue_lg|3007SBC17_blue_xl
3007SCC17_blue,Colour,3007SCC17_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC07_3007SDc17_blue_1.jpg,3007SCC17_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518032409/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_2.jpg,3007SCC17_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_5.jpg,3007SCC17_blue_5,,,,,,,,,,,blue,3007SCC17_blue_xs|3007SCC17_blue_sm|3007SCC17_blue_md|3007SCC17_blue_lg|3007SCC17_blue_xl
3007SDC17_blue,Colour,3007SDC17_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC07_3007SDc17_blue_1.jpg,3007SDC17_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518032409/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_2.jpg,3007SDC17_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518032410/Summer2018/3007SAC17_3007SBC17_3007SCC17_3007SDC17_blue_5.jpg,3007SDC17_blue_5,,,,,,,,,,,blue,3007SDC17_blue_xs|3007SDC17_blue_sm|3007SDC17_blue_md|3007SDC17_blue_lg|3007SDC17_blue_xl
3039SBC05_blue,Colour,3039SBC05_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC0_3039SDC05_blue_1.jpg,3039SBC05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518277179/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_2.jpg,3039SBC05_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518277182/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_5.jpg,3039SBC05_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518277173/Summer2018/3039SBC05_3039SCC05_3039SDC05_blue_6.jpg,3039SBC05_blue_6,,,,,,,,blue,3039SBC05_blue_xs|3039SBC05_blue_sm|3039SBC05_blue_md|3039SBC05_blue_lg|3039SBC05_blue_xl
