lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1442CSH05_purple_md,Size,1442CSH05_purple_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
1442CSH05_purple_lg,Size,1442CSH05_purple_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
1442CSH06_blue_sm,Size,1442CSH06_blue_sm,active,Maaji,7.70278E+12,SMALL,125000,COP Price
1442CSH06_blue_md,Size,1442CSH06_blue_md,active,Maaji,7.70278E+12,MEDIUM,125000,COP Price
1442CSH06_blue_lg,Size,1442CSH06_blue_lg,active,Maaji,7.70278E+12,LARGE,125000,COP Price
1446CKL01_blue_sm,Size,1446CKL01_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1446CKL01_blue_md,Size,1446CKL01_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1446CKL01_blue_lg,Size,1446CKL01_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1461CSD03_blue_sm,Size,1461CSD03_blue_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1461CSD03_blue_md,Size,1461CSD03_blue_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1461CSD03_blue_lg,Size,1461CSD03_blue_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1461CSD04_purple_sm,Size,1461CSD04_purple_SM,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1461CSD04_purple_md,Size,1461CSD04_purple_MD,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1461CSD04_purple_lg,Size,1461CSD04_purple_LG,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1468CPA03_red_sm,Size,1468CPA03_red_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1468CPA03_red_md,Size,1468CPA03_red_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1468CPA03_red_lg,Size,1468CPA03_red_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1469CKS04_purple_sm,Size,1469CKS04_purple_sm,active,Maaji,7.70278E+12,SMALL,130000,COP Price
1469CKS04_purple_md,Size,1469CKS04_purple_md,active,Maaji,7.70278E+12,MEDIUM,130000,COP Price
1469CKS04_purple_lg,Size,1469CKS04_purple_lg,active,Maaji,7.70278E+12,LARGE,130000,COP Price
1471CSD02_black_sm,Size,1471CSD02_black_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1471CSD02_black_md,Size,1471CSD02_black_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1471CSD02_black_lg,Size,1471CSD02_black_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1477CSD03_purple_sm,Size,1477CSD03_purple_sm,active,Maaji,7.70278E+12,SMALL,180000,COP Price
1477CSD03_purple_md,Size,1477CSD03_purple_md,active,Maaji,7.70278E+12,MEDIUM,180000,COP Price
1477CSD03_purple_lg,Size,1477CSD03_purple_lg,active,Maaji,7.70278E+12,LARGE,180000,COP Price
1483CCT02_red_sm,Size,1483CCT02_red_sm,active,Maaji,7.70278E+12,SMALL,120000,COP Price
1483CCT02_red_md,Size,1483CCT02_red_md,active,Maaji,7.70278E+12,MEDIUM,120000,COP Price
1483CCT02_red_lg,Size,1483CCT02_red_lg,active,Maaji,7.70278E+12,LARGE,120000,COP Price
