lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
3068SSP02_orange,Colour,3068SSP02_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522978/Summer2018/3068SSP02_orange_1.jpg,3068SSP02_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522977/Summer2018/3068SSP02_orange_2.jpg,3068SSP02_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522977/Summer2018/3068SSP02_orange_5.jpg,3068SSP02_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522974/Summer2018/3068SSP02_orange_6.jpg,3068SSP02_orange_6,,https://res.cloudinary.com/maaji/image/upload/v1517522835/Summer2018/3068SSP02_3007SDC19_orange_3.jpg,3068SSP02_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522834/Summer2018/3068SSP02_3007SDC19_orange_5.jpg,3068SSP02_orange_5,,orange,3068SSP02_orange_sm|3068SSP02_orange_md|3068SSP02_orange_lg|3068SSP02_orange_xl
3069SSE01_orange,Colour,3069SSE01_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522980/Summer2018/3069SSE01_orange_1.jpg,3069SSE01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522979/Summer2018/3069SSE01_orange_2.jpg,3069SSE01_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522979/Summer2018/3069SSE01_orange_5.jpg,3069SSE01_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522983/Summer2018/3069SSE01_orange_6.jpg,3069SSE01_orange_6,,https://res.cloudinary.com/maaji/image/upload/v1517522837/Summer2018/3069SSE01_3007SDC19_orange_3.jpg,3069SSE01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522838/Summer2018/3069SSE01_3007SDC19_orange_5.jpg,3069SSE01_orange_5,,orange,3069SSE01_orange_sm|3069SSE01_orange_md|3069SSE01_orange_lg|3069SSE01_orange_xl
3070SBR01_orange,Colour,3070SBR01_orange,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522984/Summer2018/3070SBR01_orange_1.jpg,3070SBR01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522982/Summer2018/3070SBR01_orange_2.jpg,3070SBR01_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522982/Summer2018/3070SBR01_orange_5.jpg,3070SBR01_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522984/Summer2018/3070SBR01_orange_6.jpg,3070SBR01_orange_6,,https://res.cloudinary.com/maaji/image/upload/v1517522839/Summer2018/3070SBR01_3039SCC06_orange_5.jpg,3070SBR01_orange_5,,,,,orange,3070SBR01_orange_sm|3070SBR01_orange_md|3070SBR01_orange_lg|3070SBR01_orange_xl
,,,,,,,,,,,,,,,,,,,,,,,,
9086KST02_red,Colour,9086KST02_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST02_red_3.jpg,9086KST02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST02_red_4.jpg,9086KST02_red_4,,,,,,,,,,,,,,red,9086KST02_red_2_3k|9086KST02_red_4_6k|9086KST02_red_8_10k|9086KST02_red_12_14k|9086KST02_red_16_18k
9086KST03_blue,Colour,9086KST03_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9086KST03_blue_3.jpg,9086KST03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517515709/Summer2018/9086KST03_blue_4.jpg,9086KST_blue_4,,,,,,,,,,,,,,blue,9086KST03_blue_2_3k|9086KST03_blue_4_6k|9086KST03_blue_8_10k|9086KST03_blue_12_14k|9086KST03_blue_16_18k
9088KST02_red,Colour,9088KST02_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515708/Summer2018/9088KST02_red_3.jpg,9088KST02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517515710/Summer2018/9088KST02_red_4.jpg,9088KST02_red_4,,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST02_red_5.jpg,9088KST02_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST02_red_6.jpg,9088KST02_red_6,,,,,,,,red,9088KST02_red_2_3k|9088KST02_red_4_6k|9088KST02_red_8_10k|9088KST02_red_12_14k|9088KST02_red_16_18K
9088KST03_blue,Colour,9088KST03_blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517515711/Summer2018/9088KST03_blue_3.jpg,9088KST03_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517515710/Summer2018/9088KST03_blue_4.jpg,9088KST03_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1517515712/Summer2018/9088KST03_blue_5.jpg,9088KST03_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1517515712/Summer2018/9088KST03_blue_6.jpg,9088KST03_blue_6,,,,,,,,blue,9088KST03_blue_2_3k|9088KST03_blue_4_6k|9088KST03_blue_8_10k|9088KST03_blue_12_14k|9088KST03_blue_16_18k
3083KKB03_red,Colour,3083KKB03_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681939/Summer2018/3083KKB03_red_3.jpg,3083KKB03_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517681967/Summer2018/3083KKB03_red_4.jpg,3083KKB03_red_4,,,,,,,,,,,,,,red,3083KKB03_red_2k|3083KKB03_red_4k|3083KKB03_red_6k|3083KKB03_red_8k|3083KKB03_red_10k|3083KKB03_red_12k|3083KKB03_red_14k|3083KKB03_red_16k
3090KKB02_red,Colour,3090KKB02_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682001/Summer2018/3090KKB02_red_3.jpg,3090KKB02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517682003/Summer2018/3090KKB02_red_4.jpg,3090KKB02_red_4,,,,,,,,,,,,,,red,3090KKB02_red_2k|3090KKB02_red_4k|3090KKB02_red_6k|3090KKB02_red_8k|3090KKB02_red_10k|3090KKB02_red_12k|3090KKB02_red_14k|3090KKB02_red_16k
3080KKB03_red,Colour,3080KKB03_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681934/Summer2018/3080KKB03_red_3.jpg,3080KKB03_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517681935/Summer2018/3080KKB03_red_4.jpg,3080KKB03_red_4,,,,,,,,,,,,,,red,3080KKB03_red_2k|3080KKB03_red_4k|3080KKB03_red_6k|3080KKB03_red_8k|3080KKB03_red_10k|3080KKB03_red_12k|3080KKB03_red_14k|3080KKB03_red_16k
3094KKO01_red,Colour,3094KKO01_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682038/Summer2018/3094KKO01_red_3.jpg,3094KKO01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517682040/Summer2018/3094KKO01_red_4.jpg,3094KKO01_red_4,,,,,,,,,,,,,,red,3094KKO01_red_2k|3094KKO01_red_4k|3094KKO01_red_6k|3094KKO01_red_8k|3094KKO01_red_10k|3094KKO01_red_12k|3094KKO01_red_14k|3094KKO01_red_16k
3102KKB01_red,Colour,3102KKB01_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681802/Summer2018/3102KKB01_red_3.jpg,3102KKB01_red_3,,http://res.cloudinary.com/maaji/image/upload/v1517681820/Summer2018/3102KKB01_red_4.jpg,3102KKB01_red_4,,,,,,,,,,,,,,red,3102KKB01_red_2k|3102KKB01_red_4k|3102KKB01_red_6k|3102KKB01_red_8k|3102KKB01_red_10k|3102KKB01_red_12k|3102KKB01_red_14k|3102KKB01_red_16k
3095KKS01_red,Colour,3095KKS01_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682040/Summer2018/3095KKS01_red_3.jpg,3095KKS01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517682046/Summer2018/3095KKS01_red_4.jpg,3095KKS01_red_4,,,,,,,,,,,,,,red,3095KKS01_red_2k|3095KKS01_red_4k|3095KKS01_red_6k|3095KKS01_red_8k|3095KKS01_red_10k|3095KKS01_red_12k|3095KKS01_red_14k|3095KKS01_red_16k
1689KKC02_red,Colour,1689KKC02_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681782/Summer2018/1689KKC02_red_3.jpg,1689KKC02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517681742/Summer2018/1689KKC02_red_4.jpg,1689KKC02_red_4,,,,,,,,,,,,,,red,1689KKC02_red_2k|1689KKC02_red_4k|1689KKC02_red_6k|1689KKC02_red_8k|1689KKC02_red_10k|1689KKC02_red_12k|1689KKC02_red_14k|1689KKC02_red_16k
1692KKC02_red,Colour,1692KKC02_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681840/Summer2018/1692KKC02_red_3.jpg,1692KKC02_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517681784/Summer2018/1692KKC02_red_4.jpg,1692KKC02_red_4,,,,,,,,,,,,,,red,1692KKC02_red_2k|1692KKC02_red_4k|1692KKC02_red_6k|1692KKC02_red_8k|1692KKC02_red_10k|1692KKC02_red_12k|1692KKC02_red_14k|1692KKC02_red_16k
3101KKB01_black,Colour,3101KKB01_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681757/Summer2018/3101KKB01_black_3.jpg,3101KKB01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517681747/Summer2018/3101KKB01_black_4.jpg,3101KKB01_black_4,,,,,,,,,,,,,,black,3101KKB01_black_2k|3101KKB01_black_4k|3101KKB01_black_6k|3101KKB01_black_8k|3101KKB01_black_10k|3101KKB01_black_12k|3101KKB01_black_14k|3101KKB01_black_16k
3096KKB01_red,Colour,3096KKB01_red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682074/Summer2018/3096KKB01_red_3.jpg,3096KKB01_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517682069/Summer2018/3096KKB01_red_4.jpg,3096KKB01_red_4,,,,,,,,,,,,,,red,3096KKB01_red_2k|3096KKB01_red_4k|3096KKB01_red_6k|3096KKB01_red_8k|3096KKB01_red_10k|3096KKB01_red_12k|3096KKB01_red_14k|3096KKB01_red_16k
3088KKB02_black,Colour,3088KKB02_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681996/Summer2018/3088KKB02_black_3.jpg,3088KKB02_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517681996/Summer2018/3088KKB02_black_4.jpg,3088KKB02_black_4,,,,,,,,,,,,,,black,3088KKB02_black_2k|3088KKB02_black_4k|3088KKB02_black_6k|3088KKB02_black_8k|3088KKB02_black_10k|3088KKB02_black_12k|3088KKB02_black_14k|3088KKB02_black_16k
3097KKR01_black,Colour,3097KKR01_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682077/Summer2018/3097KKR01_black_3.jpg,3097KKR01_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517682082/Summer2018/3097KKR01_black_4.jpg,3097KKR01_black_4,,,,,,,,,,,,,,black,3097KKR01_black_2k|3097KKR01_black_4k|3097KKR01_black_6k|3097KKR01_black_8k|3097KKR01_black_10k|3097KKR01_black_12k|3097KKR01_black_14k|3097KKR01_black_16k
3091KKO02_black,Colour,3091KKO02_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517682037/Summer2018/3091KKO02_black_3.jpg,3091KKO02_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517682040/Summer2018/3091KKO02_black_4.jpg,3091KKO02_black_4,,,,,,,,,,,,,,black,3091KKO02_black_2k|3091KKO02_black_4k|3091KKO02_black_6k|3091KKO02_black_8k|3091KKO02_black_10k|3091KKO02_black_12k|3091KKO02_black_14k|3091KKO02_black_16k
1688KKC03_black,Colour,1688KKC03_black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517681714/Summer2018/1688KKC03_black_3.jpg,1688KKC03_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517681719/Summer2018/1688KKC03_black_4.jpg,1688KKC03_black_4,,,,,,,,,,,,,,black,1688KKC03_black_2k|1688KKC03_black_4k|1688KKC03_black_6k|1688KKC03_black_8k|1688KKC03_black_10k|1688KKC03_black_12k|1688KKC03_black_14k|1688KKC03_black_16k
