lv1_code,inventory.1.inventory_source,inventory.1.sku,inventory.1.qty,inventory.1.stock_availability,inventory.1.style,inventory.1.available_qty
1471CSD02_white_md,CO,1471CSD02_white_md,4,in_stock,dynamic,4
1471CSD02_white_lg,CO,1471CSD02_white_lg,23,in_stock,dynamic,23
1477CSD03_purple_sm,CO,1477CSD03_purple_sm,2,in_stock,dynamic,2
1477CSD03_purple_md,CO,1477CSD03_purple_md,5,in_stock,dynamic,5
1477CSD03_purple_lg,CO,1477CSD03_purple_lg,4,in_stock,dynamic,4
1483CCT02_red_sm,CO,1483CCT02_red_sm,7,in_stock,dynamic,7
1483CCT02_red_md,CO,1483CCT02_red_md,9,in_stock,dynamic,9
1483CCT02_red_lg,CO,1483CCT02_red_lg,15,in_stock,dynamic,15
1502CSD01_red_sm,CO,1502CSD01_red_sm,20,in_stock,dynamic,20
1502CSD01_red_md,CO,1502CSD01_red_md,10,in_stock,dynamic,10
1502CSD01_red_lg,CO,1502CSD01_red_lg,9,in_stock,dynamic,9
1503CSD01_red_sm,CO,1503CSD01_red_sm,6,in_stock,dynamic,6
1503CSD01_red_md,CO,1503CSD01_red_md,4,in_stock,dynamic,4
1503CSD01_red_lg,CO,1503CSD01_red_lg,7,in_stock,dynamic,7
1504CLD01_red_sm,CO,1504CLD01_red_sm,11,in_stock,dynamic,11
1504CLD01_red_md,CO,1504CLD01_red_md,22,in_stock,dynamic,22
1504CLD01_red_lg,CO,1504CLD01_red_lg,3,in_stock,dynamic,3
1506CSD01_black_sm,CO,1506CSD01_black_sm,8,in_stock,dynamic,8
1506CSD01_black_md,CO,1506CSD01_black_md,12,in_stock,dynamic,12
1506CSD01_black_lg,CO,1506CSD01_black_lg,8,in_stock,dynamic,8
1507CKS01_black_sm,CO,1507CKS01_black_sm,5,in_stock,dynamic,5
1507CKS01_black_md,CO,1507CKS01_black_md,4,in_stock,dynamic,4
1507CKS01_black_lg,CO,1507CKS01_black_lg,23,in_stock,dynamic,23
1508CCT01_black_sm,CO,1508CCT01_black_sm,2,in_stock,dynamic,2
1508CCT01_black_md,CO,1508CCT01_black_md,5,in_stock,dynamic,5
1508CCT01_black_lg,CO,1508CCT01_black_lg,4,in_stock,dynamic,4
1509CKL01_black_sm,CO,1509CKL01_black_sm,7,in_stock,dynamic,7
1509CKL01_black_md,CO,1509CKL01_black_md,9,in_stock,dynamic,9
1509CKL01_black_lg,CO,1509CKL01_black_lg,15,in_stock,dynamic,15
1511CRO01_blue_sm,CO,1511CRO01_blue_sm,20,in_stock,dynamic,20
1511CRO01_blue_md,CO,1511CRO01_blue_md,10,in_stock,dynamic,10
1511CRO01_blue_lg,CO,1511CRO01_blue_lg,9,in_stock,dynamic,9
1513CLS01_blue_sm,CO,1513CLS01_blue_sm,6,in_stock,dynamic,6
1513CLS01_blue_md,CO,1513CLS01_blue_md,4,in_stock,dynamic,4
1513CLS01_blue_lg,CO,1513CLS01_blue_lg,7,in_stock,dynamic,7
1514CSD01_blue_sm,CO,1514CSD01_blue_sm,11,in_stock,dynamic,11
1514CSD01_blue_md,CO,1514CSD01_blue_md,22,in_stock,dynamic,22
1514CSD01_blue_lg,CO,1514CSD01_blue_lg,3,in_stock,dynamic,3
1516CCT01_blue_sm,CO,1516CCT01_blue_sm,8,in_stock,dynamic,8
1516CCT01_blue_md,CO,1516CCT01_blue_md,12,in_stock,dynamic,12
1516CCT01_blue_lg,CO,1516CCT01_blue_lg,8,in_stock,dynamic,8
1518CSD01_orange_sm,CO,1518CSD01_orange_sm,5,in_stock,dynamic,5
1518CSD01_orange_md,CO,1518CSD01_orange_md,4,in_stock,dynamic,4
1518CSD01_orange_lg,CO,1518CSD01_orange_lg,23,in_stock,dynamic,23
1519CCT01_orange_sm,CO,1519CCT01_orange_sm,2,in_stock,dynamic,2
1519CCT01_orange_md,CO,1519CCT01_orange_md,5,in_stock,dynamic,5
1519CCT01_orange_lg,CO,1519CCT01_orange_lg,4,in_stock,dynamic,4
1520SFH03_brown_sm,CO,1520SFH03_brown_sm,7,in_stock,dynamic,7
1520SFH03_brown_md,CO,1520SFH03_brown_md,9,in_stock,dynamic,9
1520SFH03_brown_lg,CO,1520SFH03_brown_lg,15,in_stock,dynamic,15
1520SFH03_brown_xl,CO,1520SFH03_brown_xl,20,in_stock,dynamic,20
1932SFT04_black_sm,CO,1932SFT04_black_sm,10,in_stock,dynamic,10
1932SFT04_black_md,CO,1932SFT04_black_md,9,in_stock,dynamic,9
1932SFT04_black_lg,CO,1932SFT04_black_lg,6,in_stock,dynamic,6
1932SFT04_black_xl,CO,1932SFT04_black_xl,4,in_stock,dynamic,4
1932SFT05_orange_sm,CO,1932SFT05_orange_sm,7,in_stock,dynamic,7
1932SFT05_orange_md,CO,1932SFT05_orange_md,11,in_stock,dynamic,11
1932SFT05_orange_lg,CO,1932SFT05_orange_lg,22,in_stock,dynamic,22
1932SFT05_orange_xl,CO,1932SFT05_orange_xl,3,in_stock,dynamic,3
2021SFA04_orange_sm,CO,2021SFA04_orange_sm,8,in_stock,dynamic,8
2021SFA04_orange_md,CO,2021SFA04_orange_md,12,in_stock,dynamic,12
2021SFA04_orange_lg,CO,2021SFA04_orange_lg,8,in_stock,dynamic,8
2021SFA04_orange_xl,CO,2021SFA04_orange_xl,5,in_stock,dynamic,5
2033SUN04_black_sm,CO,2033SUN04_black_sm,4,in_stock,dynamic,4
2033SUN04_black_md,CO,2033SUN04_black_md,23,in_stock,dynamic,23
2033SUN04_black_lg,CO,2033SUN04_black_lg,2,in_stock,dynamic,2
2033SUN04_black_xl,CO,2033SUN04_black_xl,5,in_stock,dynamic,5
2112SFA02_blue_sm,CO,2112SFA02_blue_sm,4,in_stock,dynamic,4
2112SFA02_blue_md,CO,2112SFA02_blue_md,7,in_stock,dynamic,7
2112SFA02_blue_lg,CO,2112SFA02_blue_lg,9,in_stock,dynamic,9
2112SFA02_blue_xl,CO,2112SFA02_blue_xl,15,in_stock,dynamic,15
2131SUN02_red_sm,CO,2131SUN02_red_sm,20,in_stock,dynamic,20
2131SUN02_red_md,CO,2131SUN02_red_md,10,in_stock,dynamic,10
2131SUN02_red_lg,CO,2131SUN02_red_lg,9,in_stock,dynamic,9
2131SUN02_red_xl,CO,2131SUN02_red_xl,6,in_stock,dynamic,6
2131SUN03_orange_sm,CO,2131SUN03_orange_sm,4,in_stock,dynamic,4
2131SUN03_orange_md,CO,2131SUN03_orange_md,7,in_stock,dynamic,7
2131SUN03_orange_lg,CO,2131SUN03_orange_lg,11,in_stock,dynamic,11
2131SUN03_orange_xl,CO,2131SUN03_orange_xl,22,in_stock,dynamic,22
2135SSF03_red_sm,CO,2135SSF03_red_sm,3,in_stock,dynamic,3
2135SSF03_red_md,CO,2135SSF03_red_md,8,in_stock,dynamic,8
2135SSF03_red_lg,CO,2135SSF03_red_lg,12,in_stock,dynamic,12
2153SUN02_pink_sm,CO,2153SUN02_pink_sm,8,in_stock,dynamic,8
2153SUN02_pink_md,CO,2153SUN02_pink_md,5,in_stock,dynamic,5
2153SUN02_pink_lg,CO,2153SUN02_pink_lg,4,in_stock,dynamic,4
2153SUN02_pink_xl,CO,2153SUN02_pink_xl,23,in_stock,dynamic,23
2161SFA02_blue_sm,CO,2161SFA02_blue_sm,2,in_stock,dynamic,2
2161SFA02_blue_md,CO,2161SFA02_blue_md,5,in_stock,dynamic,5
2161SFA02_blue_lg,CO,2161SFA02_blue_lg,4,in_stock,dynamic,4
2161SFA02_blue_xl,CO,2161SFA02_blue_xl,7,in_stock,dynamic,7
2162SFA02_blue_sm,CO,2162SFA02_blue_sm,9,in_stock,dynamic,9
2162SFA02_blue_md,CO,2162SFA02_blue_md,15,in_stock,dynamic,15
2162SFA02_blue_lg,CO,2162SFA02_blue_lg,20,in_stock,dynamic,20
2162SFA02_blue_xl,CO,2162SFA02_blue_xl,10,in_stock,dynamic,10
2164SRA02_blue_sm,CO,2164SRA02_blue_sm,9,in_stock,dynamic,9
2164SRA02_blue_md,CO,2164SRA02_blue_md,6,in_stock,dynamic,6
2164SRA02_blue_lg,CO,2164SRA02_blue_lg,4,in_stock,dynamic,4
2167SFT01_red_sm,CO,2167SFT01_red_sm,7,in_stock,dynamic,7
2167SFT01_red_md,CO,2167SFT01_red_md,11,in_stock,dynamic,11
2167SFT01_red_lg,CO,2167SFT01_red_lg,22,in_stock,dynamic,22
2167SFT01_red_xl,CO,2167SFT01_red_xl,3,in_stock,dynamic,3
2169SBA01_red_sm,CO,2169SBA01_red_sm,8,in_stock,dynamic,8
2169SBA01_red_md,CO,2169SBA01_red_md,12,in_stock,dynamic,12
2169SBA01_red_lg,CO,2169SBA01_red_lg,8,in_stock,dynamic,8
2169SBA01_red_xl,CO,2169SBA01_red_xl,5,in_stock,dynamic,5
2170SSE01_red_sm,CO,2170SSE01_red_sm,4,in_stock,dynamic,4
2170SSE01_red_md,CO,2170SSE01_red_md,23,in_stock,dynamic,23
2170SSE01_red_lg,CO,2170SSE01_red_lg,2,in_stock,dynamic,2
2170SSE01_red_xl,CO,2170SSE01_red_xl,5,in_stock,dynamic,5
2171SFH01_brown_sm,CO,2171SFH01_brown_sm,4,in_stock,dynamic,4
2171SFH01_brown_md,CO,2171SFH01_brown_md,7,in_stock,dynamic,7
2171SFH01_brown_lg,CO,2171SFH01_brown_lg,9,in_stock,dynamic,9
2171SFH01_brown_xl,CO,2171SFH01_brown_xl,15,in_stock,dynamic,15
2173SFA01_blue_sm,CO,2173SFA01_blue_sm,20,in_stock,dynamic,20
2173SFA01_blue_md,CO,2173SFA01_blue_md,10,in_stock,dynamic,10
2173SFA01_blue_lg,CO,2173SFA01_blue_lg,9,in_stock,dynamic,9
2173SFA01_blue_xl,CO,2173SFA01_blue_xl,6,in_stock,dynamic,6
2174SLT01_blue_sm,CO,2174SLT01_blue_sm,4,in_stock,dynamic,4
2174SLT01_blue_md,CO,2174SLT01_blue_md,7,in_stock,dynamic,7
2174SLT01_blue_lg,CO,2174SLT01_blue_lg,11,in_stock,dynamic,11
2174SLT01_blue_xl,CO,2174SLT01_blue_xl,22,in_stock,dynamic,22
2175SFA01_white_sm,CO,2175SFA01_white_sm,3,in_stock,dynamic,3
2175SFA01_white_md,CO,2175SFA01_white_md,8,in_stock,dynamic,8
2175SFA01_white_lg,CO,2175SFA01_white_lg,12,in_stock,dynamic,12
2175SFA01_white_xl,CO,2175SFA01_white_xl,8,in_stock,dynamic,8
2183SCT01_orange_sm,CO,2183SCT01_orange_sm,5,in_stock,dynamic,5
2183SCT01_orange_md,CO,2183SCT01_orange_md,4,in_stock,dynamic,4
2183SCT01_orange_lg,CO,2183SCT01_orange_lg,23,in_stock,dynamic,23
2183SCT01_orange_xl,CO,2183SCT01_orange_xl,2,in_stock,dynamic,2
2184SBA01_orange_sm,CO,2184SBA01_orange_sm,5,in_stock,dynamic,5
2184SBA01_orange_md,CO,2184SBA01_orange_md,4,in_stock,dynamic,4
2184SBA01_orange_lg,CO,2184SBA01_orange_lg,7,in_stock,dynamic,7
2184SBA01_orange_xl,CO,2184SBA01_orange_xl,9,in_stock,dynamic,9
2186SSP01_orange_sm,CO,2186SSP01_orange_sm,15,in_stock,dynamic,15
2186SSP01_orange_md,CO,2186SSP01_orange_md,20,in_stock,dynamic,20
2186SSP01_orange_lg,CO,2186SSP01_orange_lg,10,in_stock,dynamic,10
