lv1_code,,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1372CSH02_white_md,1372CSH02,Size,1372CSH02_white_md,active,Maaji,MEDIUM,7702781027278,MEDIUM,125000,COP Price
1372CSH02_white_lg,1372CSH02,Size,1372CSH02_white_lg,active,Maaji,LARGE,7702781027285,LARGE,125000,COP Price
1422CSD04_purple_sm,1422CSD04,Size,1422CSD04_purple_sm,active,Maaji,SMALL,7702781028060,SMALL,180000,COP Price
1422CSD04_purple_md,1422CSD04,Size,1422CSD04_purple_md,active,Maaji,MEDIUM,7702781028077,MEDIUM,180000,COP Price
1422CSD04_purple_lg,1422CSD04,Size,1422CSD04_purple_lg,active,Maaji,LARGE,7702781028084,LARGE,180000,COP Price
1438CSD05_red_sm,1438CSD05,Size,1438CSD05_red_sm,active,Maaji,SMALL,7702781030971,SMALL,180000,COP Price
1438CSD05_red_md,1438CSD05,Size,1438CSD05_red_md,active,Maaji,MEDIUM,7702781030988,MEDIUM,180000,COP Price
1438CSD05_red_lg,1438CSD05,Size,1438CSD05_red_lg,active,Maaji,LARGE,7702781030995,LARGE,180000,COP Price
1442CSH05_purple_sm,1442CSH05,Size,1442CSH05_purple_sm,active,Maaji,SMALL,7702781027407,SMALL,125000,COP Price
1442CSH05_purple_md,1442CSH05,Size,1442CSH05_purple_md,active,Maaji,MEDIUM,7702781027414,MEDIUM,125000,COP Price
1442CSH05_purple_lg,1442CSH05,Size,1442CSH05_purple_lg,active,Maaji,LARGE,7702781027421,LARGE,125000,COP Price
1442CSH06_blue_sm,1442CSH06,Size,1442CSH06_blue_sm,active,Maaji,SMALL,7702781027452,SMALL,125000,COP Price
1442CSH06_blue_md,1442CSH06,Size,1442CSH06_blue_md,active,Maaji,MEDIUM,7702781027469,MEDIUM,125000,COP Price
1442CSH06_blue_lg,1442CSH06,Size,1442CSH06_blue_lg,active,Maaji,LARGE,7702781027476,LARGE,125000,COP Price
1446CKL01_blue_sm,1446CKL01,Size,1446CKL01_blue_sm,active,Maaji,SMALL,7702781027506,SMALL,180000,COP Price
1446CKL01_blue_md,1446CKL01,Size,1446CKL01_blue_md,active,Maaji,MEDIUM,7702781027513,MEDIUM,180000,COP Price
1446CKL01_blue_lg,1446CKL01,Size,1446CKL01_blue_lg,active,Maaji,LARGE,7702781027520,LARGE,180000,COP Price
1461CSD03_blue_sm,1461CSD03,Size,1461CSD03_blue_sm,active,Maaji,SMALL,7702781030650,SMALL,180000,COP Price
1461CSD03_blue_md,1461CSD03,Size,1461CSD03_blue_md,active,Maaji,MEDIUM,7702781030667,MEDIUM,180000,COP Price
1461CSD03_blue_lg,1461CSD03,Size,1461CSD03_blue_lg,active,Maaji,LARGE,7702781030674,LARGE,180000,COP Price
1461CSD04_purple_sm,1461CSD04,Size,1461CSD04_purple_sm,active,Maaji,SMALL,7702781030605,SMALL,180000,COP Price
1461CSD04_purple_md,1461CSD04,Size,1461CSD04_purple_md,active,Maaji,MEDIUM,7702781030612,MEDIUM,180000,COP Price
1461CSD04_purple_lg,1461CSD04,Size,1461CSD04_purple_lg,active,Maaji,LARGE,7702781030629,LARGE,180000,COP Price
1468CPA03_red_sm,1468CPA03,Size,1468CPA03_red_sm,active,Maaji,SMALL,7702781031374,SMALL,180000,COP Price
1468CPA03_red_md,1468CPA03,Size,1468CPA03_red_md,active,Maaji,MEDIUM,7702781031381,MEDIUM,180000,COP Price
1468CPA03_red_lg,1468CPA03,Size,1468CPA03_red_lg,active,Maaji,LARGE,7702781031398,LARGE,180000,COP Price
1469CKS04_purple_sm,1469CKS04,Size,1469CKS04_purple_sm,active,Maaji,SMALL,7702781032562,SMALL,130000,COP Price
1469CKS04_purple_md,1469CKS04,Size,1469CKS04_purple_md,active,Maaji,MEDIUM,7702781032579,MEDIUM,130000,COP Price
1469CKS04_purple_lg,1469CKS04,Size,1469CKS04_purple_lg,active,Maaji,LARGE,7702781032586,LARGE,130000,COP Price
1471CSD02_white_sm,1471CSD02,Size,1471CSD02_white_sm,active,Maaji,SMALL,7702781027315,SMALL,180000,COP Price
1471CSD02_white_md,1471CSD02,Size,1471CSD02_white_md,active,Maaji,MEDIUM,7702781027322,MEDIUM,180000,COP Price
