lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2111SOC01_purple_lg,Size,2111SOC01_purple_lg,active,Maaji,LARGE,7702781021658,LARGE,273000,COP Price
2122SOB01_blue_sm,Size,2122SOB01_blue_sm,active,Maaji,SMALL,7702781017064,SMALL,273000,COP Price
2122SOB01_blue_md,Size,2122SOB01_blue_md,active,Maaji,MEDIUM,7702781017071,MEDIUM,273000,COP Price
2122SOB01_blue_lg,Size,2122SOB01_blue_lg,active,Maaji,LARGE,7702781017088,LARGE,273000,COP Price
2122SOC01_blue_sm,Size,2122SOC01_blue_sm,active,Maaji,SMALL,7702781021788,SMALL,273000,COP Price
2122SOC01_blue_md,Size,2122SOC01_blue_md,active,Maaji,MEDIUM,7702781021795,MEDIUM,273000,COP Price
2122SOC01_blue_lg,Size,2122SOC01_blue_lg,active,Maaji,LARGE,7702781021801,LARGE,273000,COP Price
3007SAC03_purple_sm,Size,3007SAC03_purple_sm,active,Maaji,SMALL,7702781019730,SMALL,95000,COP Price
3007SAC03_purple_md,Size,3007SAC03_purple_md,active,Maaji,MEDIUM,7702781019747,MEDIUM,95000,COP Price
3007SAC03_purple_lg,Size,3007SAC03_purple_lg,active,Maaji,LARGE,7702781019754,LARGE,95000,COP Price
3007SBC03_purple_sm,Size,3007SBC03_purple_sm,active,Maaji,SMALL,7702781001803,SMALL,95000,COP Price
3007SBC03_purple_md,Size,3007SBC03_purple_md,active,Maaji,MEDIUM,7702781001810,MEDIUM,95000,COP Price
3007SBC03_purple_lg,Size,3007SBC03_purple_lg,active,Maaji,LARGE,7702781001827,LARGE,95000,COP Price
3007SCC03_purple_sm,Size,3007SCC03_purple_sm,active,Maaji,SMALL,7702781019785,SMALL,95000,COP Price
3007SCC03_purple_md,Size,3007SCC03_purple_md,active,Maaji,MEDIUM,7702781019792,MEDIUM,95000,COP Price
3007SCC03_purple_lg,Size,3007SCC03_purple_lg,active,Maaji,LARGE,7702781019808,LARGE,95000,COP Price
3007SDC03_purple_sm,Size,3007SDC03_purple_sm,active,Maaji,SMALL,7702781019839,SMALL,95000,COP Price
3007SDC03_purple_md,Size,3007SDC03_purple_md,active,Maaji,MEDIUM,7702781019846,MEDIUM,95000,COP Price
3007SDC03_purple_lg,Size,3007SDC03_purple_lg,active,Maaji,LARGE,7702781019853,LARGE,95000,COP Price
3007SAC04_red_sm,Size,3007SAC04_red_sm,active,Maaji,SMALL,7702781019884,SMALL,95000,COP Price
3007SAC04_red_md,Size,3007SAC04_red_md,active,Maaji,MEDIUM,7702781019891,MEDIUM,95000,COP Price
3007SAC04_red_lg,Size,3007SAC04_red_lg,active,Maaji,LARGE,7702781019907,LARGE,95000,COP Price
3007SBC04_red_sm,Size,3007SBC04_red_sm,active,Maaji,SMALL,7702781001858,SMALL,95000,COP Price
3007SBC04_red_md,Size,3007SBC04_red_md,active,Maaji,MEDIUM,7702781001865,MEDIUM,95000,COP Price
3007SBC04_red_lg,Size,3007SBC04_red_lg,active,Maaji,LARGE,7702781001872,LARGE,95000,COP Price
3007SCC04_red_sm,Size,3007SCC04_red_sm,active,Maaji,SMALL,7702781019938,SMALL,95000,COP Price
3007SCC04_red_md,Size,3007SCC04_red_md,active,Maaji,MEDIUM,7702781019945,MEDIUM,95000,COP Price
3007SCC04_red_lg,Size,3007SCC04_red_lg,active,Maaji,LARGE,7702781019952,LARGE,95000,COP Price
3007SDC04_red_sm,Size,3007SDC04_red_sm,active,Maaji,SMALL,7702781019983,SMALL,95000,COP Price
3007SDC04_red_md,Size,3007SDC04_red_md,active,Maaji,MEDIUM,7702781019990,MEDIUM,95000,COP Price
