lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
GORGONA FOREST,4 Level Product Style,GORGONA FOREST,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>GORGONA FOREST</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2126SBC01|2126SDC01
COCONUT VALLEY,4 Level Product Style,COCONUT VALLEY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>COCONUT VALLEY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2120SAC02|2120SBC01
HERITAGE RENDEZVOUS,4 Level Product Style,HERITAGE RENDEZVOUS,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>HERITAGE RENDEZVOUS</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3013SBC02
DENIM COLOMBIA,4 Level Product Style,DENIM COLOMBIA,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>DENIM COLOMBIA</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2043SBC01|2043SCC01
AMARANTH MULATTA,4 Level Product Style,AMARANTH MULATTA,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>AMARANTH MULATTA</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2111SOB01|2111SOC01
SOLANO BAY,4 Level Product Style,SOLANO BAY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 91% NYLON 9% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>SOLANO BAY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2122SOB01|2122SOC01
JUNEBERRY SUBLIME,4 Level Product Style,JUNEBERRY SUBLIME,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>JUNEBERRY SUBLIME</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3007SAC03|3007SBC03|3007SCC03|3007SDC03
CINNAMON SUBLIME,4 Level Product Style,CINNAMON SUBLIME,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>CINNAMON SUBLIME</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3007SAC04|3007SBC04|3007SCC04|3007SDC04
FESTIVE COQUETTE,4 Level Product Style,FESTIVE COQUETTE,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>FESTIVE COQUETTE</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2062SBC03|2062SCC03
SCARLET CACIQUE,4 Level Product Style,SCARLET CACIQUE,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>SCARLET CACIQUE</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2041SAC01|2041SBC01
HERITAGE SUBLIME,4 Level Product Style,HERITAGE SUBLIME,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>HERITAGE SUBLIME</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3007SBC05|3007SCC05
CURRANT COLOMBIA,4 Level Product Style,CURRANT COLOMBIA,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>CURRANT COLOMBIA</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2119SOH01|2119SOR01
STARGAZER HEAVENLY,4 Level Product Style,STARGAZER HEAVENLY,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 90%NYLON 7%SPANDEX 1%POLYESTER 1%PET 1%ACRYLIC KNIT,SPRING,SWIMWEAR,<h4>STARGAZER HEAVENLY</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,3050SOH01|3050SOR01
AMAZON RIVER,4 Level Product Style,AMAZON RIVER,active,Maaji,Colombia,SPRING 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 91% NYLON 9% SPANDEX KNIT,SPRING,SWIMWEAR,<h4>AMAZON RIVER</h4>,WOMEN,active,2018,,,,,,,,,,,,,,,,,,,61.12.41.00.00,2130SCC01
