lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,image.1.url,image.1.description,image.1.is_primary,variation_children_code
2111SOB01,Cut,2111SOB01,active,Maaji,SOB,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2111SOB01_purple
2111SOC01,Cut,2111SOC01,active,Maaji,SOC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2111SOC01_purple
2122SOB01,Cut,2122SOB01,active,Maaji,SOB,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2122SOB01_blue
2122SOC01,Cut,2122SOC01,active,Maaji,SOC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2122SOC01_blue
3007SAC03,Cut,3007SAC03,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC03_purple
3007SBC03,Cut,3007SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC03_purple
3007SCC03,Cut,3007SCC03,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC03_purple
3007SDC03,Cut,3007SDC03,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC03_purple
3007SAC04,Cut,3007SAC04,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC04_red
3007SBC04,Cut,3007SBC04,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC04_red
3007SCC04,Cut,3007SCC04,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC04_red
3007SDC04,Cut,3007SDC04,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC04_red
2062SBC03,Cut,2062SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2062SBC03_blue
2062SCC03,Cut,2062SCC03,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2062SCC03_blue
2041SAC01,Cut,2041SAC01,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2041SAC01_wine
2041SBC01,Cut,2041SBC01,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2041SBC01_wine
3007SBC05,Cut,3007SBC05,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC05_blue
3007SCC05,Cut,3007SCC05,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC05_blue
2119SOH01,Cut,2119SOH01,active,Maaji,SOH,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2119SOH01_purple
2119SOR01,Cut,2119SOR01,active,Maaji,SOR,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2119SOR01_purple
3050SOH01,Cut,3050SOH01,active,Maaji,SOH,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3050SOH01_blue
3050SOR01,Cut,3050SOR01,active,Maaji,SOR,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3050SOR01_blue
2130SCC01,Cut,2130SCC01,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2130SCC01_blue
,,,,,,,,,
