lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2120SAC02_blue_sm,Size,2120SAC02_blue_sm,active,Maaji,PEQUEÑO,7702781006266,PEQUEÑO,100000,COP Price
2120SAC02_blue_md,Size,2120SAC02_blue_md,active,Maaji,MEDIO,7702781006273,MEDIO,100000,COP Price
2120SAC02_blue_lg,Size,2120SAC02_blue_lg,active,Maaji,GRANDE,7702781006280,GRANDE,100000,COP Price
2120SBC02_blue_sm,Size,2120SBC02_blue_sm,active,Maaji,PEQUEÑO,7702781020781,PEQUEÑO,100000,COP Price
2120SBC02_blue_md,Size,2120SBC02_blue_md,active,Maaji,MEDIO,7702781020798,MEDIO,100000,COP Price
2120SBC02_blue_lg,Size,2120SBC02_blue_lg,active,Maaji,GRANDE,7702781020804,GRANDE,100000,COP Price
3013SBC02_blue_sm,Size,3013SBC02_blue_sm,active,Maaji,PEQUEÑO,7702781004101,PEQUEÑO,95000,COP Price
3013SBC02_blue_md,Size,3013SBC02_blue_md,active,Maaji,MEDIO,7702781004095,MEDIO,95000,COP Price
3013SBC02_blue_lg,Size,3013SBC02_blue_lg,active,Maaji,GRANDE,7702781004088,GRANDE,95000,COP Price
2043SBC01_blue_sm,Size,2043SBC01_blue_sm,active,Maaji,PEQUEÑO,7702781006310,PEQUEÑO,100000,COP Price
2043SBC01_blue_md,Size,2043SBC01_blue_md,active,Maaji,MEDIO,7702781006327,MEDIO,100000,COP Price
2043SBC01_blue_lg,Size,2043SBC01_blue_lg,active,Maaji,GRANDE,7702781006334,GRANDE,100000,COP Price
2043SCC01_blue_sm,Size,2043SCC01_blue_sm,active,Maaji,PEQUEÑO,7702781020682,PEQUEÑO,100000,COP Price
2043SCC01_blue_md,Size,2043SCC01_blue_md,active,Maaji,MEDIO,7702781020699,MEDIO,100000,COP Price
2043SCC01_blue_lg,Size,2043SCC01_blue_lg,active,Maaji,GRANDE,7702781020705,GRANDE,100000,COP Price
2111SOB01_purple_sm,Size,2111SOB01_purple_sm,active,Maaji,PEQUEÑO,7702781016968,PEQUEÑO,273000,COP Price
2111SOB01_purple_md,Size,2111SOB01_purple_md,active,Maaji,MEDIO,7702781016975,MEDIO,273000,COP Price
2111SOB01_purple_lg,Size,2111SOB01_purple_lg,active,Maaji,GRANDE,7702781016982,GRANDE,273000,COP Price
2111SOC01_purple_sm,Size,2111SOC01_purple_sm,active,Maaji,PEQUEÑO,7702781021634,PEQUEÑO,273000,COP Price
