lv1_code,product_class_name,name,status,brand,attribute.saya_cut.single_option,image.1.url,image.1.description,image.1.is_primary,variation_children_code
2050SBC01,Cut,2050SBC01,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2050SBC01_black
2050SDC01,Cut,2050SDC01,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2050SDC01_black
1943SAC03,Cut,1943SAC03,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,1943SAC03_black
1943SBC03,Cut,1943SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,1943SBC03_black
2061SBC03,Cut,2061SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2061SBC03_black
2061SCC03,Cut,2061SCC03,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2061SCC03_black
2041SAC07,Cut,2041SAC07,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2041SAC07_black
2041SBC07,Cut,2041SBC07,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2041SBC07_black
2047SBC05,Cut,2047SBC05,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2047SBC05_black
2047SCC05,Cut,2047SCC05,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2047SCC05_black
3007SAC17,Cut,3007SAC17,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC17_blue
3007SBC17,Cut,3007SBC17,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC17_blue
3007SCC17,Cut,3007SCC17,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC17_blue
3007SDC17,Cut,3007SDC17,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC17_blue
3039SBC05,Cut,3039SBC05,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3039SBC05_blue
3039SCC05,Cut,3039SCC05,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3039SCC05_blue
3039SDC05,Cut,3039SDC05,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3039SDC05_blue
3052SBC03,Cut,3052SBC03,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3052SBC03_pink
3052SDC03,Cut,3052SDC03,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3052SDC03_pink
3007SAC18,Cut,3007SAC18,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC18_pink
3007SBC18,Cut,3007SBC18,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC18_pink
3007SCC18,Cut,3007SCC18,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC18_pink
3007SDC18,Cut,3007SDC18,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC18_pink
2062SBC10,Cut,2062SBC10,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2062SBC10_blue
2062SDC10,Cut,2062SDC10,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2062SDC10_blue
2043SAC07,Cut,2043SAC07,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2043SAC07_blue
2043SBC07,Cut,2043SBC07,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2043SBC07_blue
2043SAC08,Cut,2043SAC08,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2043SAC08_blue
2043SBC08,Cut,2043SBC08,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2043SBC08_blue
2061SBC05,Cut,2061SBC05,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2061SBC05_blue
2061SDC05,Cut,2061SDC05,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2061SDC05_blue
2061SBC04,Cut,2061SBC04,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2061SBC04_blue
2061SCC04,Cut,2061SCC04,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2061SCC04_blue
2119SOR02,Cut,2119SOR02,active,Maaji,SOR,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2119SOR02_blue
2119SOH02,Cut,2119SOH02,active,Maaji,SOH,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2119SOH02_blue
2062SBC11,Cut,2062SBC11,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2062SBC11_blue
2062SCC11,Cut,2062SCC11,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2062SCC11_blue
2041SBC08,Cut,2041SBC08,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2041SBC08_blue
2041SCC08,Cut,2041SCC08,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2041SCC08_blue
3007SAC19,Cut,3007SAC19,active,Maaji,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC19_orange
3007SBC19,Cut,3007SBC19,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC19_orange
3007SCC19,Cut,3007SCC19,active,Maaji,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC19_orange
3007SDC19,Cut,3007SDC19,active,Maaji,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC19_orange
3013SBC04,Cut,3013SBC04,active,Maaji,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3013SBC04_orange
