lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3007SDC16_black_sm,Size,3007SDC16_black_sm,active,Maaji,PEQUEÑO,7702781047214,PEQUEÑO,95000,COP Price
3007SDC16_black_md,Size,3007SDC16_black_md,active,Maaji,MEDIO,7702781047221,MEDIO,95000,COP Price
3007SDC16_black_lg,Size,3007SDC16_black_lg,active,Maaji,GRANDE,7702781047238,GRANDE,95000,COP Price
3039SBC04_black_sm,Size,3039SBC04_black_sm,active,Maaji,PEQUEÑO,7702781047474,PEQUEÑO,95000,COP Price
3039SBC04_black_md,Size,3039SBC04_black_md,active,Maaji,MEDIO,7702781047481,MEDIO,95000,COP Price
3039SBC04_black_lg,Size,3039SBC04_black_lg,active,Maaji,GRANDE,7702781047498,GRANDE,95000,COP Price
3039SCC04_black_sm,Size,3039SCC04_black_sm,active,Maaji,PEQUEÑO,7702781047429,PEQUEÑO,95000,COP Price
3039SCC04_black_md,Size,3039SCC04_black_md,active,Maaji,MEDIO,7702781047436,MEDIO,95000,COP Price
3039SCC04_black_lg,Size,3039SCC04_black_lg,active,Maaji,GRANDE,7702781047443,GRANDE,95000,COP Price
3039SDC04_black_sm,Size,3039SDC04_black_sm,active,Maaji,PEQUEÑO,7702781031022,PEQUEÑO,95000,COP Price
3039SDC04_black_md,Size,3039SDC04_black_md,active,Maaji,MEDIO,7702781031039,MEDIO,95000,COP Price
3039SDC04_black_lg,Size,3039SDC04_black_lg,active,Maaji,GRANDE,7702781031046,GRANDE,95000,COP Price
2187SBC01_black_sm,Size,2187SBC01_black_sm,active,Maaji,PEQUEÑO,7702781047573,PEQUEÑO,126000,COP Price
2187SBC01_black_md,Size,2187SBC01_black_md,active,Maaji,MEDIO,7702781047580,MEDIO,126000,COP Price
2187SBC01_black_lg,Size,2187SBC01_black_lg,active,Maaji,GRANDE,7702781047597,GRANDE,126000,COP Price
2187SDC01_black_sm,Size,2187SDC01_black_sm,active,Maaji,PEQUEÑO,7702781033729,PEQUEÑO,126000,COP Price
2187SDC01_black_md,Size,2187SDC01_black_md,active,Maaji,MEDIO,7702781033736,MEDIO,126000,COP Price
2187SDC01_black_lg,Size,2187SDC01_black_lg,active,Maaji,GRANDE,7702781033743,GRANDE,126000,COP Price
1943SBC04_blue_sm,Size,1943SBC04_blue_sm,active,Maaji,PEQUEÑO,7702781047528,PEQUEÑO,126000,COP Price
1943SBC04_blue_md,Size,1943SBC04_blue_md,active,Maaji,MEDIO,7702781047535,MEDIO,126000,COP Price
1943SBC04_blue_lg,Size,1943SBC04_blue_lg,active,Maaji,GRANDE,7702781047542,GRANDE,126000,COP Price
