lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
SAND STONE SUBLIME,4 Level Product Style,SAND STONE SUBLIME,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND STONE SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522835/Summer2018/3068SSP02_3007SDC19_orange_3.jpg,3007SAC19_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522835/Summer2018/3068SSP02_3007SDC19_orange_4.jpg,3007SAC19_orange_4,,https://res.cloudinary.com/maaji/image/upload/v1517522834/Summer2018/3068SSP02_3007SDC19_orange_5.jpg,3007SAC19_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522836/Summer2018/3068SSP02_3007SDC19_orange_6.jpg,3007SAC19_orange_6,,,,,,,,61.12.41.00.00,3007SAC19|3007SBC19|3007SCC19|3007SDC19
SAND STONE RENDEZVOUS,4 Level Product Style,SAND STONE RENDEZVOUS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 88% NYLON 12% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND STONE RENDEZVOUS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522833/Summer2018/3063SBR02_3013SCC04_orange_3.jpg,3013SBC04_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522834/Summer2018/3063SBR02_3013SCC04_orange_4.jpg,3013SBC04_orange_4,,https://res.cloudinary.com/maaji/image/upload/v1517522832/Summer2018/3063SBR02_3013SCC04_5.jpg,3013SBC04_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522833/Summer2018/3063SBR02_3013SCC04_6.jpg,3013SCC04_orange_6,,,,,,,,61.12.41.00.00,3013SBC04|3013SCC04
MAUVE SUBLIME,4 Level Product Style,MAUVE SUBLIME,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,MAUVE SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522831/Summer2018/3042SFH03_3007SAC20_purple_3.jpg,3007SAC20_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522830/Summer2018/3042SFH03_3007SAC20_purple_4.jpg,3007SAC20_purple_4,,https://res.cloudinary.com/maaji/image/upload/v1517522831/Summer2018/3042SFH03_3007SAC20_purple_5.jpg,3007SAC20_purple_5,,https://res.cloudinary.com/maaji/image/upload/v1517522832/Summer2018/3042SFH03_3007SAC20_purple_6.jpg,3007SAC20_purple_6,,,,,,,,61.12.41.00.00,3007SAC20|3007SBC20|3007SCC20|3007SDC20
MAUVE FLIRT,4 Level Product Style,MAUVE FLIRT,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,MAUVE FLIRT,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522838/Summer2018/3070SBR01_3039SBC06_purple_3.jpg,3039SBC06_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522838/Summer2018/3070SBR01_3039SBC06_purple_4.jpg,3039SBC06_purple_4,,https://res.cloudinary.com/maaji/image/upload/v1517522839/Summer2018/3070SBR01_3039SCC06_purple_5.jpg,3039SBC06_purple_5,,https://res.cloudinary.com/maaji/image/upload/v1517522839/Summer2018/3070SBR01_3039SCC06_purple_6.jpg,3039SBC06_purple_6,,,,,,,,61.12.41.00.00,3039SBC06|3039SCC06|3039SDC06
DESERT COMMAND,4 Level Product Style,DESERT COMMAND,active,Maaji,SWIMWEAR > WOMENS ONE PIECE/REGULAR RISE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,DESERT COMMAND,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522820/Summer2018/2182SOH01_2182SOR01_orange_3.jpg,2182SOR01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522823/Summer2018/2182SOH01_2182SOR01_orange_4.jpg,2182SOH01_orange_4,,,,,,,,,,,,,,61.12.41.00.00,2182SOR01|2182SOH01
SUNDOWN SOCIETY,4 Level Product Style,SUNDOWN SOCIETY,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 47% NYLON 44% POLYESTER 9% SPANDEX KNIT,SUMMER,SWIMWEAR,SUNDOWN SOCIETY,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522818/Summer2018/2021SFA04_2110SBC03_orange_3.jpg,2110SBC03_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522819/Summer2018/2021SFA04_2110SDC03_orange_4.jpg,2110SDC03_orange_4,,https://res.cloudinary.com/maaji/image/upload/v1517522819/Summer2018/2021SFA04_2110SDC03_orange_8.jpg,2110SDC03_orange_8,,https://res.cloudinary.com/maaji/image/upload/v1517522819/Summer2018/2021SFA04_2110SBC03_orange_5.jpg,2110SBC03_orange_5,,,,,,,,61.12.41.00.00,2110SBC03|2110SDC03
TEMPO DUSK,4 Level Product Style,TEMPO DUSK,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 52% NYLON 35% POLYESTER 13% SPANDEX KNIT,SUMMER,SWIMWEAR,TEMPO DUSK,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522827/Summer2018/2186SSP01_2023SBC01_orange_3.jpg,2023SBC01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522829/Summer2018/2186SSP01_2023SCC01_orange_4.jpg,2023SCC01_orange_4,,,,,,,,,,,,,,61.12.41.00.00,2023SBC01|2023SCC01
SECOND NATURE,4 Level Product Style,SECOND NATURE,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 91% NYLON 9% SPANDEX KNIT,SUMMER,SWIMWEAR,SECOND NATURE,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522823/Summer2018/2183SCT01_2188SBC01_orange_3.jpg,2188SBC01_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522824/Summer2018/2183SCT01_2188SCC01_orange_4.jpg,2188SCC01_orange_4,,,,,,,,,,,,,,61.12.41.00.00,2188SBC01|2188SCC01
SAND MOMENTUM,4 Level Product Style,SAND MOMENTUM,active,Maaji,SWIMWEAR > WOMENS SURFER ONE PIECE/SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,SAND MOMENTUM,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522827/Summer2018/2185SOB01_2185SOC01_purple_3.jpg,2185SOC01_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522827/Summer2018/2185SOB01_2185SOC01_purple_4.jpg,2185SOC01_purple_4,,,,,,,,,,,,,,61.12.41.00.00,2185SOB01|2185SOC01
DOLCE VELOCE,4 Level Product Style,DOLCE VELOCE,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 52% NYLON 35% POLYESTER 13% SPANDEX KNIT,SUMMER,SWIMWEAR,DOLCE VELOCE,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522816/Summer2018/1932SFT05_1932SAC02_orange_3.jpg,1932SAC02_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522817/Summer2018/1932SFT05_1932SAC02_orange_4.jpg,1932SAC02_orange_4,,,,,,,,,,,,,,61.12.41.00.00,1932SAC02|1932SBC02
CURUBA HIBISCUS,4 Level Product Style,CURUBA HIBISCUS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 84% NYLON 16% SPANDEX KNIT,SUMMER,SWIMWEAR,CURUBA HIBISCUS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522821/Summer2018/2131SUN03_2062SBC12_orange_3.jpg,2062SBC12_orange_3,,https://res.cloudinary.com/maaji/image/upload/v1517522821/Summer2018/2131SUN03_2062SCC12_orange_4.jpg,2062SCC12_orange_4,,,,,,,,,,,,,,61.12.41.00.00,2062SBC12|2062SCC12
OASIS GARDEN,4 Level Product Style,OASIS GARDEN,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 83% NYLON 17% SPANDEX KNIT,SUMMER,SWIMWEAR,OASIS GARDEN,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517522824/Summer2018/2184SBA01_2168SBC02_purple_3.jpg,2168SBC02_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522826/Summer2018/2184SBA01_2168SBC02_purple_4.jpg,2168SBC02_purple_4,,https://res.cloudinary.com/maaji/image/upload/v1517522826/Summer2018/2184SBA01_2168SBC02_purple_7.jpg,2168SBC02_purple_7,,https://res.cloudinary.com/maaji/image/upload/v1517522826/Summer2018/2184SBA01_2168SBC02_purple_7.jpg,2168SBC02_purple_7,,,,,,,,61.12.41.00.00,2168SBC02|2168SDC02
