lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_tariff_code.string,variation_children_code
BALLERINA ORNATE,4 Level Product Style,BALLERINA ORNATE,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,BALLERINA ORNATE,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1518807262/Summer2018/3045SFT04_3052SBC03_pink_3.jpg,3052SBC03_pink_3,,https://res.cloudinary.com/maaji/image/upload/v1518807264/Summer2018/3045SFT04_3052SBC03_pink_4.jpg,3052SBC03_pink_4,,https://res.cloudinary.com/maaji/image/upload/v1518807263/Summer2018/3045SFT04_3052SBC03_pink_5.jpg,3052SBC03_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518807263/Summer2018/3045SFT04_3052SBC03_pink_6.jpg,3052SBC03_pink_6,,,,,,,,61.12.41.00.00,3052SBC03|3052SDC03
BALLERINA SUBLIME,4 Level Product Style,BALLERINA SUBLIME,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SUMMER,SWIMWEAR,BALLERINA SUBLIME,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1518806908/Summer2018/3011SHN01_3007SAC18_pink_3.jpg,3007SAC18_pink_3,,https://res.cloudinary.com/maaji/image/upload/v1518806909/Summer2018/3011SHN01_3007SAC18_pink_4.jpg,3007SAC18_pink_4,,https://res.cloudinary.com/maaji/image/upload/v1518806909/Summer2018/3011SHN01_3007SAC18_pink_5.jpg,3007SAC18_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518806909/Summer2018/3011SHN01_3007SAC18_pink_6.jpg,3007SAC18_pink_6,,https://res.cloudinary.com/maaji/image/upload/v1519248235/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_1.jpg,3007SAC18_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1519248236/Summer2018/3007SAC18_3007SBC18_3007SCC18_3007SDC18_pink_2.jpg,3007SAC18_pink_2,,61.12.41.00.00,3007SAC18|3007SBC18|3007SCC18|3007SDC18
ARAWAKS ROCKS,4 Level Product Style,ARAWAKS ROCKS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,ARAWAKS ROCKS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517843007/Summer2018/2162SFA02_2062SBC10_blue_3.jpg,2062SBC10_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517843008/Summer2018/2162SFA02_2062SDC10_blue_4.jpg,2062SBC10_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519246475/Summer2018/2062SBC10_2062SDC10_blue_1.jpg,2062SBC10_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519246475/Summer2018/2062SBC10_2062SDC10_blue_2.jpg,2062SDC10_blue_2,,,,,,,,61.12.41.00.00,2062SBC10|2062SDC10
RALLY RACERS,4 Level Product Style,RALLY RACERS,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 51% NYLON 39% POLYESTER 10% SPANDEX KNIT,SUMMER,SWIMWEAR,RALLY RACERS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517782764/Summer2018/2177SFA01_2043SAC07_blue_3.jpg,2043SAC07_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517782763/Summer2018/2177SFA01_2043SBC07_blue_4.jpg,2043SAC07_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519245388/Summer2018/2043SAC07_2043SBC07_blue_1.jpg,2043SAC07_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519245388/Summer2018/2043SAC07_2043SBC07_blue_2.jpg,2043SBC07_blue_2,,,,,,,,61.12.41.00.00,2043SAC07|2043SBC07
HIDDEN LAGOON,4 Level Product Style,HIDDEN LAGOON,active,Maaji,SWIMWEAR > WOMENS HIPSTER CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,HIDDEN LAGOON,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517782179/Summer2018/2178SUN01_2043SAC08_blue_3.jpg,2043SAC08_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517782178/Summer2018/2178SUN01_2043SBC08_blue_4.jpg,3043SBC08_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519245640/Summer2018/2043SAC08_2043SBC08_blue_1.jpg,2043SAC08_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519245639/Summer2018/2043SBC08_2043SBC08_blue_2.jpg,2043SBC08_blue_2,,,,,,,,61.12.41.00.00,2043SAC08|2043SBC08
SUNNY RIDES,4 Level Product Style,SUNNY RIDES,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,SUNNY RIDES,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517934845/Summer2018/2179SSE01_2061SBC05_blue_3.jpg,2061SBC05_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517842170/Summer2018/2179SSE01_2061SDC05_blue_4.jpg,2061SDC05_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519246125/Summer2018/2061SBC05_2061SDC05_blue_1.jpg,2061SBC05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519246125/Summer2018/2061SBC05_2061SDC05_blue_2.jpg,2061SDC05_blue_2,,,,,,,,61.12.41.00.00,2061SBC05|2061SDC05
AMERICAN FLAMINGOS,4 Level Product Style,AMERICAN FLAMINGOS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,AMERICAN FLAMINGOS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517838195/Summer2018/2180SFT01_2061SBC04_blue_3.jpg,2061SBC04_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517838195/Summer2018/2180SFT01_2061SCC04_blue_4.jpg,2061SCC04_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519245851/Summer2018/2061SBC04_2061SCC04_blue_1.jpg,2061SBC04_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519245853/Summer2018/2061SBC04_2061SCC04_blue_2.jpg,2061SCC04_blue_2,,,,,,,,61.12.41.00.00,2061SBC04|2061SCC04
RIOHACHA VILLAGE,4 Level Product Style,RIOHACHA VILLAGE,active,Maaji,SWIMWEAR > WOMENS ONE PIECE/REGULAR RISE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,SUMMER,SWIMWEAR,RIOHACHA VILLAGE,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517862421/Summer2018/2119SOR02_2119SOH02_blue_3.jpg,2119SOR01_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517862421/Summer2018/2119SOH02_blue_4.jpg,2119SOH01_blue_4,,,,,,,,,,,,,,61.12.41.00.00,2119SOR02|2119SOH02
WHEELS AND FRILLS,4 Level Product Style,WHEELS AND FRILLS,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 51% NYLON 39% POLYESTER 10% SPANDEX KNIT,SUMMER,SWIMWEAR,WHEELS AND FRILLS,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517843492/Summer2018/2181SBA01_2062SBC11_blue_3.jpg,2061SBC11_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517843492/Summer2018/2181SBA01_2062SCC11_blue_4.jpg,2062SCC11_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519246814/Summer2018/2062SBC11_2062SCC11_blue_5.jpg,2062SBC11_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1519246813/Summer2018/2062SBC11_2062SCC11_blue_2.jpg,2062SCC11_blue_2,,,,,,,,61.12.41.00.00,2062SBC11|2062SCC11
BLUE CACIQUE,4 Level Product Style,BLUE CACIQUE,active,Maaji,SWIMWEAR > WOMENS SIGNATURE CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 47% NYLON 44% POLYESTER 9% SPANDEX KNIT,SUMMER,SWIMWEAR,BLUE CACIQUE,WOMEN,active,2018,https://res.cloudinary.com/maaji/image/upload/v1517781129/Summer2018/2112SFA02_2041SBC08_blue_3.jpg,2041SBC08_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517781131/Summer2018/2112SFA02_2041SBC08_blue_4.jpg,2041SBC08_blue_4,,https://res.cloudinary.com/maaji/image/upload/v1519244900/Summer2018/2041SBC08_2041SCC08_blue_1.jpg,2041SBC08_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1519244900/Summer2018/2041SBC08_2041SCC08_blue_2.jpg,2041SCC08_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1519244898/Summer2018/2041SBC08_2041SCC08_blue_5.jpg,2041SBC08_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1519244899/Summer2018/2041SBC08_2041SCC08_blue_6.jpg,2041SCC08_blue_6,,61.12.41.00.00,2041SBC08|2041SCC08
