lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
1472csd01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528334238/Spring2018/1472CSD01_blue_3.jpg,1472CSD01_blue_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528334238/Spring2018/1472CSD01_blue_4.jpg,1472CSD01_blue_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1469cks01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1528333123/Spring2018/1469CKS01_blue_1.jpg,1469CKS01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528333123/Spring2018/1469CKS01_blue_2.jpg,1469CKS01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1461csd01_rosado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528331583/Spring2018/1461CSD01_pink_3.jpg,1461CSD01_pink_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331584/Spring2018/1461CSD01_pink_4.jpg,1462CSD01_pink_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1378cpa01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528329102/Spring2018/1378CPA01_purple_1.jpg,1378CPA01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329103/Spring2018/1378CPA01_purple_2.jpg,1378CPA01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1426csh01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528330755/Spring2018/1426CSH01_purple_1.jpg,1426CSH01_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528330756/Spring2018/1426CSH01_purple_2.jpg,1426CSH01_purple_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1463cld01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528331822/Spring2018/1463CLD01_purple_3.jpg,1463CLD01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528331823/Spring2018/1463CLD01_purple_4.jpg,1463CLD01_purple_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1420csd01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528329104/Spring2018/1420CSD01_purple_3.jpg,1420CSD01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329441/Spring2018/1420CSD01_purple_4.jpg,1420CSD01_purple_4,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329442/Spring2018/1420CSD01_purple_7.jpg,1420CSD01_purple_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528329443/Spring2018/1420CSD01_purple_8.jpg,1420CSD01_purple_8,no,hi-res,,,,,,,,,,,,,,,,
1465cro01_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1528332236/Spring2018/1465CRO01_purple_3.jpg,1465CRO01_purple_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528332237/Spring2018/1465CRO01_purple_4.jpg,1465CRO01_purple_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
1422csd02_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528330294/Spring2018/1422CSD02_wine_3.jpg,1422CSD02_wine_3,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528330295/Spring2018/1422CSD02_wine_4.jpg,1422CSD02_wine_4,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3046shn01_vinotinto,Colour,https://res.cloudinary.com/maaji/image/upload/v1528408116/Spring2018/3046SHN01_wine_1.jpg,3046SHN01_wine_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408116/Spring2018/3046SHN01_wine_2.jpg,3046SHN01_wine_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408118/Spring2018/3046SHN01_wine_5.jpg,3046SHN01_wine_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1528408118/Spring2018/3046SHN01_wine_6.jpg,3046SHN01_wine_6,no,hi-res,,,,,,,,,,,,,,,,
