lv1_code,product_class_name,image.1.url,image.1.description,image.1.is_primary,image.1.tag_list,image.2.url,image.2.description,image.2.is_primary,image.2.tag_list,image.3.url,image.3.description,image.3.is_primary,image.3.tag_list,image.4.url,image.4.description,image.4.is_primary,image.4.tag_list,image.5.url,image.5.description,image.5.is_primary,image.5.tag_list,image.6.url,image.6.description,image.6.is_primary,image.6.tag_list,image.7.url,image.7.description,image.7.is_primary,image.7.tag_list,image.8.url,image.8.description,image.8.is_primary,image.8.tag_list
2173sfa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527263641/Summer2018/2173SFA01_blue_1.jpg,2173SFA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527263644/Summer2018/2173SFA01_blue_2.jpg,2173SFA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2174slt01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527264597/Summer2018/2174SLT01_blue_1.jpg,2174SLT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527264599/Summer2018/2174SLT01_blue_2.jpg,2174SLT01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2175sfa01_blanco,Colour,https://res.cloudinary.com/maaji/image/upload/v1527265032/Summer2018/2175SFA01_white_1.jpg,2175SFA01_white_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527265035/Summer2018/2175SFA01_white_2.jpg,2175SFA01_white_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2176sra01_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527265350/Summer2018/2176SRA01_black_1.jpg,2176SRA01_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527265358/Summer2018/2176SRA01_black_2.jpg,2176SRA01_black_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2177sfa01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527265963/Summer2018/2177SFA01_blue_1.jpg,2177SFA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527265966/Summer2018/2177SFA01_blue_2.jpg,2177SFA01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2178sun01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527266358/Summer2018/2178SUN01_blue_1.jpg,2178SUN01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527266360/Summer2018/2178SUN01_blue_2.jpg,2178SUN01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2179sse01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527517854/Summer2018/2179SSE01_blue_1.jpg,1279SSE01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527517855/Summer2018/2179SSE01_blue_2.jpg,2179SSE01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2180sft01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527598281/Summer2018/2180SFT01_blue_1.jpg,2180SFT01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527598282/Summer2018/2180SFT01_blue_2.jpg,2180SFT01_blue_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2181sba01_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527601901/Summer2018/2181SBA01_blue_1.jpg,2181SBA01_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527601902/Summer2018/2181SBA01_blue_2.jpg,2181SBA01_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527601903/Summer2018/2181SBA01_blue_5.jpg,2181SBA01_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527601904/Summer2018/2181SBA01_blue_6.jpg,2181SBA01_blue_6,no,hi-res,,,,,,,,,,,,,,,,
2183sct01_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527603706/Summer2018/2183SCT01_orange_1.jpg,2183SCT01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527603707/Summer2018/2183SCT01_orange_2.jpg,2183SCT01_orange_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
2184sba01_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527605291/Summer2018/2184SBA01_orange_1.jpg,2184SBA01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527605292/Summer2018/2184SBA01_orange_2.jpg,2184SBA01_orange_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527605294/Summer2018/2184SBA01_orange_5.jpg,2184SBA01_orange_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527605294/Summer2018/2184SBA01_orange_6.jpg,2184SBA01_orange_6,no,hi-res,,,,,,,,,,,,,,,,
2186ssp01_anaranjado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527606702/Summer2018/2186SSP01_orange_1.jpg,2186SSP01_orange_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527606703/Summer2018/2186SSP01_orange_2.jpg,2186SSP01_orange_2,no,hi-res,,,,,,,,,,,,,,,,,,,,,,,,
3011shn01_rosado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527628117/Summer2018/3011SHN01_pink_1.jpg,3011SHN01_pink_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527628118/Summer2018/3011SHN01_pink_2.jpg,3011SHN01_pink_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527628118/Summer2018/3011SHN01_pink_5.jpg,3011SHN01_pink_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527628119/Summer2018/3011SHN01_pink_6.jpg,3011SHN01_pink_6,no,hi-res,,,,,,,,,,,,,,,,
3012sfh05_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527629952/Summer2018/3012SFH05_blue_1.jpg,3012SFH05_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527629953/Summer2018/3012SFH05_blue_2.jpg,3012SFH05_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527629954/Summer2018/3012SFH05_blue_5.jpg,3012SFH05_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527629955/Summer2018/3012SFH05_blue_6.jpg,3012SFH05_blue_6,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527629955/Summer2018/3012SFH05_blue_7.jpg,3012SFH05_blue_7,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527629956/Summer2018/3012SFH05_blue_8.jpg,3012SFH05_blue_8,no,hi-res,,,,,,,,
3042sfh02_negro,Colour,https://res.cloudinary.com/maaji/image/upload/v1527642061/Summer2018/3042SFH02_black_1.jpg,3042SFH02_black_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642061/Summer2018/3042SFH02_black_2.jpg,3042SFH02_black_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642062/Summer2018/3042SFH02_black_5.jpg,3042SFH02_black_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642064/Summer2018/3042SFH02_black_6.jpg,3042SFH02_black_6,no,hi-res,,,,,,,,,,,,,,,,
3042sfh03_morado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527642727/Summer2018/3042SFH03_purple_1.jpg,3042SFH03_purple_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642728/Summer2018/3042SFH03_purple_2.jpg,3042SFH03_purple_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642729/Summer2018/3042SFH03_purple_5.jpg,3042SFH03_purple_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527642730/Summer2018/3042SFH03_purple_6.jpg,3042SFH03_purple_6,no,hi-res,,,,,,,,,,,,,,,,
3045sft04_rosado,Colour,https://res.cloudinary.com/maaji/image/upload/v1527862359/Summer2018/3045SFT04_pink_1.jpg,3045SFT04_pink_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527862360/Summer2018/3045SFT04_pink_2.jpg,3045SFT04_pink_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527862361/Summer2018/3045SFT04_pink_5.jpg,3045SFT04_pink_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527862362/Summer2018/3045SFT04_pink_6.jpg,3045SFT04_pink_6,no,hi-res,,,,,,,,,,,,,,,,
3048sun04_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527884679/Summer2018/3048SUN04_blue_1.jpg,3048SUN04_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527884680/Summer2018/3048SUN04_blue_2.jpg,3048SUN04_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527884681/Summer2018/3048SUN04_blue_5.jpg,3048SUN04_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527884682/Summer2018/3048SUN04_blue_6.jpg,3048SUN04_blue_6,no,hi-res,,,,,,,,,,,,,,,,
3053sfa05_azul,Colour,https://res.cloudinary.com/maaji/image/upload/v1527886364/Summer2018/3053SFA05_blue_1.jpg,3053SFA05_blue_1,yes,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527886365/Summer2018/3053SFA05_blue_2.jpg,3053SFA05_blue_2,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527886366/Summer2018/3053SFA05_blue_5.jpg,3053SFA05_blue_5,no,hi-res,https://res.cloudinary.com/maaji/image/upload/v1527886367/Summer2018/3053SFA05_blue_6.jpg,3053SFA05_blue_6,no,hi-res,,,,,,,,,,,,,,,,
