lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.description.html,attribute.saya_collection.single_option,attribute.saya_country.string,attribute.saya_fabric_content.single_option,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_occasion.multi_option,attribute.saya_product_department.string,attribute.saya_product_line.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1690KKC02,Style,1690KKC02,active,Maaji,GIRLS SHORT DRESS KIDS,default,Colombia,,SUMMER,Colombia,GIRLS DRESS 100% NYLON KNIT,KIDS,KIDS,OCEAN CALL,,GIRLS,KIDS,active,2018,6104430000,1690KKC02-blue
1691KKC02,Style,1691KKC02,active,Maaji,GIRLS SHORT KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SHORT 100% NYLON KNIT,KIDS,KIDS,SUN FLOWER,,GIRLS,KIDS,active,2018,6104630000,1691KKC02-orange
1692KKC02,Style,1692KKC02,active,Maaji,GIRLS SHORT DRESS KIDS,default,Colombia,,SUMMER,Colombia,GIRLS DRESS 100% VISCOSE WOVEN,KIDS,KIDS,SHINEON ME,,GIRLS,KIDS,active,2018,6204440000,1692KKC02-red
1693KKC02,Style,1693KKC02,active,Maaji,GIRLS SHORT DRESS KIDS,default,Colombia,,SUMMER,Colombia,GIRLS DRESS 100% NYLON KNIT,KIDS,KIDS,TAKE ME WITH YOU,,GIRLS,KIDS,active,2018,6104430000,1693KKC02-blue
1694KKC02,Style,1694KKC02,active,Maaji,GIRLS SHORT DRESS KIDS,default,Colombia,,SUMMER,Colombia,GIRLS DRESS 100% NYLON KNIT,KIDS,KIDS,BLOOM BABY,,GIRLS,KIDS,active,2018,6104430000,1694KKC02-black
1695KKC01,Style,1695KKC01,active,Maaji,GIRLS SHORT DRESS KIDS,default,Colombia,,SUMMER,Colombia,GIRLS DRESS 100% NYLON KNIT,KIDS,KIDS,MYSTIC TREASURE,,GIRLS,KIDS,active,2018,6104430000,1695KKC01-orange
3051KKB04,Style,3051KKB04,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 86% NYLON 14% SPANDEX KNIT,KIDS,KIDS,BAKER BEACH,,GIRLS,KIDS,active,2018,6112410000,3051KKB04-blue
3053KKB02,Style,3053KKB02,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 85% NYLON 15% SPANDEX KNIT,KIDS,KIDS,ZIZ OASIS,,GIRLS,KIDS,active,2018,6112410000,3053KKB02-blue
3066KKB03,Style,3066KKB03,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 87% NYLON 13% SPANDEX KNIT,KIDS,KIDS,ROSE OF THE DESERT,,GIRLS,KIDS,active,2018,6112410000,3066KKB03-orange
3080KKB03,Style,3080KKB03,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 88% NYLON 12% SPANDEX KNIT,KIDS,KIDS,STARS RAIN,,GIRLS,KIDS,active,2018,6112410000,3080KKB03-red
3081KKB02,Style,3081KKB02,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 83% NYLON 17% SPANDEX KNIT,KIDS,KIDS,ROLLING WAVES,,GIRLS,KIDS,active,2018,6112410000,3081KKB02-blue
3083KKB03,Style,3083KKB03,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 85% NYLON 15% SPANDEX KNIT,KIDS,KIDS,LITTLE RAINFOREST,,GIRLS,KIDS,active,2018,6112410000,3083KKB03-red
3084KKO02,Style,3084KKO02,active,Maaji,GIRLS ONE PIECE KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 88% NYLON 12% SPANDEX KNIT,KIDS,KIDS,MAGNIFICENT ARRECIFES,,GIRLS,KIDS,active,2018,6112410000,3084KKO02-blue
3085KKO02,Style,3085KKO02,active,Maaji,GIRLS ONE PIECE KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR ONE PIECE 87%NYLON 13%SPANDEX KNIT,KIDS,KIDS,PLAYA CHIQUITA,,GIRLS,KIDS,active,2018,6112410000,3085KKO02-orange
3088KKB02,Style,3088KKB02,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 86% NYLON 14% SPANDEX KNIT,KIDS,KIDS,CACTI HOTEL,,GIRLS,KIDS,active,2018,6112410000,3088KKB02-black
3090KKB02,Style,3090KKB02,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 85% NYLON 15% SPANDEX KNIT,KIDS,KIDS,CORAL BEANS,,GIRLS,KIDS,active,2018,6112410000,3090KKB02-red
3091KKO02,Style,3091KKO02,active,Maaji,GIRLS ONE PIECE KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR ONE PIECE 86% NYLON 14% SPANDEX KNIT,KIDS,KIDS,GREENWOODS,,GIRLS,KIDS,active,2018,6112410000,3091KKO02-black
3094KKO01,Style,3094KKO01,active,Maaji,GIRLS ONE PIECE KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR ONE PIECE 86%NYLON 11%SPANDEX 1%POLYESTER 1%PET 1%ACRYLIC KNIT,KIDS,KIDS,FOREVER SUMMER,,GIRLS,KIDS,active,2018,6112410000,3094KKO01-red
3095KKS01,Style,3095KKS01,active,Maaji,GIRLS SHORT KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SHORT 92% NYLON 8% SPANDEX KNIT,KIDS,KIDS,SHINY CAMEL,,GIRLS,KIDS,active,2018,6104630000,3095KKS01-red
3096KKB01,Style,3096KKB01,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 86% NYLON 14% SPANDEX KNIT,KIDS,KIDS,TIMIA LANDSCAPE,,GIRLS,KIDS,active,2018,6112410000,3096KKB01-red
3097KKR01,Style,3097KKR01,active,Maaji,GIRLS RASH GUARD KIDS,default,Colombia,,SUMMER,Colombia,GIRLS RASGUARD 92% NYLON 8% SPANDEX KNIT,KIDS,KIDS,LOST CITY,,GIRLS,KIDS,active,2018,6110309000,3097KKR01-black
3098KKR01,Style,3098KKR01,active,Maaji,GIRLS RASH GUARD KIDS,default,Colombia,,SUMMER,Colombia,GIRLS RASGUARD 92% NYLON 8% SPANDEX KNIT,KIDS,KIDS,WILDLIFE GORG,,GIRLS,KIDS,active,2018,6110309000,3098KKR01-blue
3099KKO01,Style,3099KKO01,active,Maaji,GIRLS ONE PIECE KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR ONE PIECE 87%NYLON 13%SPANDEX KNIT,KIDS,KIDS,PASSIONFRUIT FRESHNESS,,GIRLS,KIDS,active,2018,6112410000,3099KKO01-orange
3100KKB01,Style,3100KKB01,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 87% NYLON 13% SPANDEX KNIT,KIDS,KIDS,DUSTY STORM,,GIRLS,KIDS,active,2018,6112410000,3100KKB01-orange
3101KKB01,Style,3101KKB01,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 87% NYLON 13% SPANDEX KNIT,KIDS,KIDS,ROCK DESERT,,GIRLS,KIDS,active,2018,6112410000,3101KKB01-black
3101KKB02,Style,3101KKB02,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 87% NYLON 13% SPANDEX KNIT,KIDS,KIDS,SANDY SANDBELLS,,GIRLS,KIDS,active,2018,6112410000,3101KKB02-orange
3102KKB01,Style,3102KKB01,active,Maaji,GIRLS BIKINI KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SWIMWEAR TWO PIECE 91% NYLON 9% SPANDEX KNIT,KIDS,KIDS,TEMPLE OF JOY,,GIRLS,KIDS,active,2018,6112410000,3102KKB01-red
3103KKS01,Style,3103KKS01,active,Maaji,GIRLS SHORT KIDS,default,Colombia,,SUMMER,Colombia,GIRLS SHORT 92% NYLON 8% SPANDEX KNIT,KIDS,KIDS,COYOTE VALLEY,,GIRLS,KIDS,active,2018,6104630000,3103KKS01-orange
1214XCP05,Style,1214XCP05,active,Maaji,RUNNING ACCESSORIES,default,Colombia,,SUMMER,Colombia,WOMENS VISOR 100% POLYESTER WOVEN,ACCESSORIES,ACCESSORIES,LEAVES VISOR,,WOMEN,ACCESSORIES,active,2018,6507000000,1214XCP05-green
