lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.booolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1233XTW02,Single Level Product Style,1233XTW02,active,Maaji,Colombia,1,0,,"If you are not satisfied with your purchase, you are welcome to return any unworn and unwashed items with tags intact and original packagin included to the following address: Cr. 48 # 61Sur 115. Medellín, Colombia.",SANDWAVES BEACH TOWEL,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Reversible rectangular beach towell with two bottom pockets and fringes on both sides</p>,SANDWAVES BEACH TOWEL,Reversible rectangular beach towell with two bottom pockets and fringes on both sides,,,,Our model wears an Colombian size ONE SIZE,,ACCESORIES,default,ACCESORIES,MaajiUS,ACCESORIES,MaajiAU,ACCESORIES,MaajiEUR,ACCESORIOS,MaajiCO,SUMMER 2018,COLOMBIA,BEACH TOWEL 100% POLYESTER WOVEN,SUMMER,ACCESORIES,<h4>SANDWAVES BEACH TOWEL</h4>,WOMEN,active,2018,63.07.90.90.00,https://res.cloudinary.com/maaji/image/upload/v1517700023/Summer2018/1233XTW02_orange_9.jpg,1233XTW02_orange_9,yes,,,,,,,,,,,,,orange,7.70278E+12,ONE SIZE,85000,COP Price
1238XCP05,Single Level Product Style,1238XCP05,active,Maaji,Colombia,1,0,,"If you are not satisfied with your purchase, you are welcome to return any unworn and unwashed items with tags intact and original packagin included to the following address: Cr. 48 # 61Sur 115. Medellín, Colombia.",OASIS KNOT VISOR,ONE SIZE,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach knot visor</p>,OASIS KNOT VISOR,Beach knot visor,,,,Our model wears an Colombian size ONE SIZE,,ACCESORIES,default,ACCESORIES,MaajiUS,ACCESORIES,MaajiAU,ACCESORIES,MaajiEUR,ACCESORIOS,MaajiCO,SUMMER 2018,COLOMBIA,WOMENS VISOR 100% POLYESTER WOVEN,SUMMER,ACCESORIES,<h4>OASIS KNOT VISOR</h4>,WOMEN,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700099/Summer2018/1238XCP05_red_9.jpg,1238XCP05_red_9,yes,,,,,,,,,,,,,red,7.70278E+12,ONE SIZE,45000,COP Price
