lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option
3047sfh01_rojo_xl,Size,3047SFH01 ROJO XL,active,Maaji,,7702781003180,
2117ssp01_vinotinto_sm,Size,2117SSP01 VINOTINTO SM,active,Maaji,,7702781002954,
2117ssp01_vinotinto_md,Size,2117SSP01 VINOTINTO MD,active,Maaji,,7702781002961,
2117ssp01_vinotinto_lg,Size,2117SSP01 VINOTINTO LG,active,Maaji,,7702781002978,
2117ssp01_vinotinto_xl,Size,2117SSP01 VINOTINTO XL,active,Maaji,,7702781002985,
3049sfa01_rojo_sm,Size,3049SFA01 ROJO SM,active,Maaji,,7702781003401,
3049sfa01_rojo_md,Size,3049SFA01 ROJO MD,active,Maaji,,7702781003395,
3049sfa01_rojo_lg,Size,3049SFA01 ROJO LG,active,Maaji,,7702781003388,
3049sfa01_rojo_xl,Size,3049SFA01 ROJO XL,active,Maaji,,7702781003418,
3054sfa01_azul_sm,Size,3054SFA01 AZUL SM,active,Maaji,,7702781004729,
3054sfa01_azul_md,Size,3054SFA01 AZUL MD,active,Maaji,,7702781004736,
3054sfa01_azul_lg,Size,3054SFA01 AZUL LG,active,Maaji,,7702781004743,
3054sfa01_azul_xl,Size,3054SFA01 AZUL XL,active,Maaji,,7702781004750,
1520sfh01_azul_sm,Size,1520SFH01 AZUL SM,active,Maaji,,7702781004828,
1520sfh01_azul_md,Size,1520SFH01 AZUL MD,active,Maaji,,7702781004835,
1520sfh01_azul_lg,Size,1520SFH01 AZUL LG,active,Maaji,,7702781004842,
1520sfh01_azul_xl,Size,1520SFH01 AZUL XL,active,Maaji,,7702781004859,
3053sfa01_azul_sm,Size,3053SFA01 AZUL SM,active,Maaji,,7702781004873,
3053sfa01_azul_md,Size,3053SFA01 AZUL MD,active,Maaji,,7702781004880,
3053sfa01_azul_lg,Size,3053SFA01 AZUL LG,active,Maaji,,7702781004897,
3053sfa01_azul_xl,Size,3053SFA01 AZUL XL,active,Maaji,,7702781004903,
2121shn01_azul_sm,Size,2121SHN01 AZUL SM,active,Maaji,,7702781003548,
2121shn01_azul_md,Size,2121SHN01 AZUL MD,active,Maaji,,7702781003555,
2121shn01_azul_lg,Size,2121SHN01 AZUL LG,active,Maaji,,7702781003562,
2121shn01_azul_xl,Size,2121SHN01 AZUL XL,active,Maaji,,7702781003579,
1929sfa02_azul_sm,Size,1929SFA02 AZUL SM,active,Maaji,,7702781002404,
1929sfa02_azul_md,Size,1929SFA02 AZUL MD,active,Maaji,,7702781002411,
1929sfa02_azul_lg,Size,1929SFA02 AZUL LG,active,Maaji,,7702781002428,
1929sfa02_azul_xl,Size,1929SFA02 AZUL XL,active,Maaji,,7702781002435,
2033sun01_azul_sm,Size,2033SUN01 AZUL SM,active,Maaji,,7702781005962,
2033sun01_azul_md,Size,2033SUN01 AZUL MD,active,Maaji,,7702781005979,
2033sun01_azul_lg,Size,2033SUN01 AZUL LG,active,Maaji,,7702781005986,
2033sun01_azul_xl,Size,2033SUN01 AZUL XL,active,Maaji,,7702781005993,
2113sft02_azul_sm,Size,2113SFT02 AZUL SM,active,Maaji,,7702781006013,
2113sft02_azul_md,Size,2113SFT02 AZUL MD,active,Maaji,,7702781006020,
2113sft02_azul_lg,Size,2113SFT02 AZUL LG,active,Maaji,,7702781006037,
2113sft02_azul_xl,Size,2113SFT02 AZUL XL,active,Maaji,,7702781006044,
2125ssp01_azul_sm,Size,2125SSP01 AZUL SM,active,Maaji,,7702781006167,
2125ssp01_azul_md,Size,2125SSP01 AZUL MD,active,Maaji,,7702781006174,
2125ssp01_azul_lg,Size,2125SSP01 AZUL LG,active,Maaji,,7702781006181,
2125ssp01_azul_xl,Size,2125SSP01 AZUL XL,active,Maaji,,7702781006198,
2128sfa01_azul_sm,Size,2128SFA01 AZUL SM,active,Maaji,,7702781003807,
2128sfa01_azul_md,Size,2128SFA01 AZUL MD,active,Maaji,,7702781003791,
2128sfa01_azul_lg,Size,2128SFA01 AZUL LG,active,Maaji,,7702781003784,
2128sfa01_azul_xl,Size,2128SFA01 AZUL XL,active,Maaji,,7702781003814,
2129sba01_azul_sm,Size,2129SBA01 AZUL SM,active,Maaji,,7702781003944,
2129sba01_azul_md,Size,2129SBA01 AZUL MD,active,Maaji,,7702781003951,
2129sba01_azul_lg,Size,2129SBA01 AZUL LG,active,Maaji,,7702781003968,
2129sba01_azul_xl,Size,2129SBA01 AZUL XL,active,Maaji,,7702781003975,
2127sfh01_azul_sm,Size,2127SFH01 AZUL SM,active,Maaji,,7702781003593,
2127sfh01_azul_md,Size,2127SFH01 AZUL MD,active,Maaji,,7702781003609,
2127sfh01_azul_lg,Size,2127SFH01 AZUL LG,active,Maaji,,7702781003616,
2127sfh01_azul_xl,Size,2127SFH01 AZUL XL,active,Maaji,,7702781003623,
3049sfa02_azul_sm,Size,3049SFA02 AZUL SM,active,Maaji,,7702781003999,
3049sfa02_azul_md,Size,3049SFA02 AZUL MD,active,Maaji,,7702781004002,
3049sfa02_azul_lg,Size,3049SFA02 AZUL LG,active,Maaji,,7702781004019,
3049sfa02_azul_xl,Size,3049SFA02 AZUL XL,active,Maaji,,7702781004026,
3051sse01_azul_sm,Size,3051SSE01 AZUL SM,active,Maaji,,7702781004156,
3051sse01_azul_md,Size,3051SSE01 AZUL MD,active,Maaji,,7702781004149,
3051sse01_azul_lg,Size,3051SSE01 AZUL LG,active,Maaji,,7702781004132,
3051sse01_azul_xl,Size,3051SSE01 AZUL XL,active,Maaji,,7702781004163,
3048sun01_rojo_sm,Size,3048SUN01 ROJO SM,active,Maaji,,7702781004200,
3048sun01_rojo_md,Size,3048SUN01 ROJO MD,active,Maaji,,7702781004194,
3048sun01_rojo_lg,Size,3048SUN01 ROJO LG,active,Maaji,,7702781004187,
3048sun01_rojo_xl,Size,3048SUN01 ROJO XL,active,Maaji,,7702781004217,
3012sfh02_vinotinto_sm,Size,3012SFH02 VINOTINTO SM,active,Maaji,,7702781002503,
3012sfh02_vinotinto_md,Size,3012SFH02 VINOTINTO MD,active,Maaji,,7702781002510,
3012sfh02_vinotinto_lg,Size,3012SFH02 VINOTINTO LG,active,Maaji,,7702781002527,
3012sfh02_vinotinto_xl,Size,3012SFH02 VINOTINTO XL,active,Maaji,,7702781002534,
2021sfa02_vinotinto_sm,Size,2021SFA02 VINOTINTO SM,active,Maaji,,7702781002008,
2021sfa02_vinotinto_md,Size,2021SFA02 VINOTINTO MD,active,Maaji,,7702781002015,
2021sfa02_vinotinto_lg,Size,2021SFA02 VINOTINTO LG,active,Maaji,,7702781002022,
2021sfa02_vinotinto_xl,Size,2021SFA02 VINOTINTO XL,active,Maaji,,7702781002039,
1916sfh02_vinotinto_sm,Size,1916SFH02 VINOTINTO SM,active,Maaji,,7702781002305,
1916sfh02_vinotinto_md,Size,1916SFH02 VINOTINTO MD,active,Maaji,,7702781002312,
1916sfh02_vinotinto_lg,Size,1916SFH02 VINOTINTO LG,active,Maaji,,7702781002329,
1916sfh02_vinotinto_xl,Size,1916SFH02 VINOTINTO XL,active,Maaji,,7702781002336,
2123sra01_azul_sm,Size,2123SRA01 AZUL SM,active,Maaji,,7702781005917,
2123sra01_azul_md,Size,2123SRA01 AZUL MD,active,Maaji,,7702781005924,
2123sra01_azul_lg,Size,2123SRA01 AZUL LG,active,Maaji,,7702781005931,
2118ssf01_vinotinto_sm,Size,2118SSF01 VINOTINTO SM,active,Maaji,,7702781002800,
2118ssf01_vinotinto_md,Size,2118SSF01 VINOTINTO MD,active,Maaji,,7702781002817,
2118ssf01_vinotinto_lg,Size,2118SSF01 VINOTINTO LG,active,Maaji,,7702781002824,
1045trs01_azul_sm,Size,1045TRS01 AZUL SM,active,Maaji,,7702781014759,
1045trs01_azul_md,Size,1045TRS01 AZUL MD,active,Maaji,,7702781014766,
1045trs01_azul_lg,Size,1045TRS01 AZUL LG,active,Maaji,,7702781014773,
1045trs01_azul_xl,Size,1045TRS01 AZUL XL,active,Maaji,,7702781014780,
1042trs01_azul_sm,Size,1042TRS01 AZUL SM,active,Maaji,,7702781014650,
1042trs01_azul_md,Size,1042TRS01 AZUL MD,active,Maaji,,7702781014667,
1042trs01_azul_lg,Size,1042TRS01 AZUL LG,active,Maaji,,7702781014674,
1042trs01_azul_xl,Size,1042TRS01 AZUL XL,active,Maaji,,7702781014681,
1043trs01_rojo_sm,Size,1043TRS01 ROJO SM,active,Maaji,,7702781014704,
1043trs01_rojo_md,Size,1043TRS01 ROJO MD,active,Maaji,,7702781014711,
1043trs01_rojo_lg,Size,1043TRS01 ROJO LG,active,Maaji,,7702781014728,
1043trs01_rojo_xl,Size,1043TRS01 ROJO XL,active,Maaji,,7702781014735,
1044trs01_negro_sm,Size,1044TRS01 NEGRO SM,active,Maaji,,7702781014803,
1044trs01_negro_md,Size,1044TRS01 NEGRO MD,active,Maaji,,7702781014810,
1044trs01_negro_lg,Size,1044TRS01 NEGRO LG,active,Maaji,,7702781014827,
1044trs01_negro_xl,Size,1044TRS01 NEGRO XL,active,Maaji,,7702781014834,
1048tss01_azul_sm,Size,1048TSS01 AZUL SM,active,Maaji,,7702781016715,
1048tss01_azul_md,Size,1048TSS01 AZUL MD,active,Maaji,,7702781016722,
1048tss01_azul_lg,Size,1048TSS01 AZUL LG,active,Maaji,,7702781016739,
1048tss01_azul_xl,Size,1048TSS01 AZUL XL,active,Maaji,,7702781016746,
1049tss01_azul_sm,Size,1049TSS01 AZUL SM,active,Maaji,,7702781016814,
1049tss01_azul_md,Size,1049TSS01 AZUL MD,active,Maaji,,7702781016821,
1049tss01_azul_lg,Size,1049TSS01 AZUL LG,active,Maaji,,7702781016838,
1049tss01_azul_xl,Size,1049TSS01 AZUL XL,active,Maaji,,7702781016845,
1050tss01_amarillo_sm,Size,1050TSS01 AMARILLO SM,active,Maaji,,7702781016869,
1050tss01_amarillo_md,Size,1050TSS01 AMARILLO MD,active,Maaji,,7702781016876,
