lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3060SFA03_red_sm,Size,3060SFA03_red_sm,active,Maaji,7702781037482,SMALL,180000,COP Price
3060SFA03_red_md,Size,3060SFA03_red_md,active,Maaji,7702781037482,MEDIUM,180000,COP Price
3060SFA03_red_lg,Size,3060SFA03_red_lg,active,Maaji,7702781037482,LARGE,180000,COP Price
3060SFA03_red_xl,Size,3060SFA03_red_xl,active,Maaji,7702781037482,EXTRA LARGE,180000,COP Price
