lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,attribute.country_of_origin.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,variation_children_code
1468CPA03,3 Level Product Style,1468CPA03,active,Maaji,COVER UPS > WOMENS PANTS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS PANTS 98% VISCOSE 1% POLYESTER 1% POLIETILENO WOVEN,SUMMER,COVER UPS,SUNSHINE VALLEY,WOMEN,active,2018,6204690000,1468CPA03_red
1469CKS04,3 Level Product Style,1469CKS04,active,Maaji,COVER UPS > WOMENS SHORT SKIRT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SKIRT 88% VISCOSE 11% NYLON 1% SPANDEX WOVEN,SUMMER,COVER UPS,EXOTIC VOYAGE,WOMEN,active,2018,6204590000,1469CKS04_purple
1471CSD02,3 Level Product Style,1471CSD02,active,Maaji,COVER UPS > WOMENS DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,SUMMER,COVER UPS,RAIN SHADOW,WOMEN,active,2018,6104430000,1471CSD02_black
1477CSD03,3 Level Product Style,1477CSD03,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,SUMMER,COVER UPS,TBT SAND WAVES,WOMEN,active,2018,6104430000,1477CSD03_purple
1502CSD01,3 Level Product Style,1502CSD01,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% VISCOSE WOVEN,SUMMER,COVER UPS,DELIGHTFUL DUNES,WOMEN,active,2018,6204440000,1502CSD01_red
1503CSD01,3 Level Product Style,1503CSD01,active,Maaji,COVER UPS > WOMENS DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 96% NYLON 2% POLYESTER 1% ACRYLIC 1% POLIETILENO KNIT,SUMMER,COVER UPS,YOLO,WOMEN,active,2018,6104430000,1503CSD01_red
1504CLD01,3 Level Product Style,1504CLD01,active,Maaji,COVER UPS > WOMENS DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,SUMMER,COVER UPS,NATIVE SOUL,WOMEN,active,2018,6104430000,1504CLD01_red
1506CSD01,3 Level Product Style,1506CSD01,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 100% NYLON KNIT,SUMMER,COVER UPS,RUNNING WILD,WOMEN,active,2018,6104430000,1506CSD01_black
1507CKS01,3 Level Product Style,1507CKS01,active,Maaji,COVER UPS > WOMENS SHORT SKIRT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SKIRT 88% VISCOSE 11% NYLON 1% SPANDEX WOVEN,SUMMER,COVER UPS,VIVACIOUS QUEST,WOMEN,active,2018,6204590000,1507CKS01_black
1508CCT01,3 Level Product Style,1508CCT01,active,Maaji,COVER UPS > WOMENS CROP TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS CROP TOP 93% VISCOSE 6% NYLON 1% SPANDEX WOVEN,SUMMER,COVER UPS,WANNAHAVE FUN,WOMEN,active,2018,6211430000,1508CCT01_black
1509CKL01,3 Level Product Style,1509CKL01,active,Maaji,COVER UPS > WOMENS LONG SKIRT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS LONG SKIRT 100% NYLON KNIT,SUMMER,COVER UPS,UNDER THE STARS,WOMEN,active,2018,6104530000,1509CKL01_black
1511CRO01,3 Level Product Style,1511CRO01,active,Maaji,COVER UPS > WOMENS ROMPER,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS ROMPER 100% NYLON KNIT,SUMMER,COVER UPS,RIOHACHA GARDEN,WOMEN,active,2018,6114300000,1511CRO01_blue
1513CLS01,3 Level Product Style,1513CLS01,active,Maaji,COVER UPS > WOMENS LONG SLEEVE SHIRT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 92% VISCOSE 3% POLYESTER 3% POLIETILENO 2% ACRYLIC WOVEN,SUMMER,COVER UPS,SWEET BREEZE,WOMEN,active,2018,6204440000,1513CLS01_blue
1514CSD01,3 Level Product Style,1514CSD01,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 53% NYLON 47% VISCOSE KNIT,SUMMER,COVER UPS,NEVER LOOK BACK,WOMEN,active,2018,6104430000,1514CSD01_blue
1516CCT01,3 Level Product Style,1516CCT01,active,Maaji,COVER UPS > WOMENS CROP TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS CROP TOP 53% VISCOSE 47% NYLON WOVEN,SUMMER,COVER UPS,NO MATTER WHERE,WOMEN,active,2018,6114300000,1516CCT01_blue
1518CSD01,3 Level Product Style,1518CSD01,active,Maaji,COVER UPS > WOMENS SHORT DRESS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS DRESS 96% NYLON 2% POLYESTER 1% ACRYLIC 1% POLIETILENO KNIT,SUMMER,COVER UPS,SUNKISSED,WOMEN,active,2018,6104430000,1518CSD01_orange
1519CCT01,3 Level Product Style,1519CCT01,active,Maaji,COVER UPS > WOMENS CROP TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS CROP TOP 100% VISCOSE WOVEN,SUMMER,COVER UPS,TRADE WINDS,WOMEN,active,2018,6211430000,1519CCT01_orange
2173SFA01,3 Level Product Style,2173SFA01,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,SPANISH EXPLORER,WOMEN,active,2018,6112410000,2173SFA01_black
2174SLT01,3 Level Product Style,2174SLT01,active,Maaji,SWIMWEAR > WOMENS LONG LINE FIXED TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SUMMER,SWIMWEAR,GARDEN PILOT,WOMEN,active,2018,6112410000,2174SLT01_black
2175SFA01,3 Level Product Style,2175SFA01,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 74% NYLON 18% POLYESTER 8% SPANDEX KNIT,SUMMER,SWIMWEAR,PEARL PROVINCE,WOMEN,active,2018,6112410000,2175SFA01_black
2176SRA01,3 Level Product Style,2176SRA01,active,Maaji,SWIMWEAR > WOMENS RASHGUARD,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS RASHGUARD 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,MYSTERY FOUNTAIN,WOMEN,active,2018,6110309000,2176SRA01_black
2177SFA01,3 Level Product Style,2177SFA01,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 49% NYLON 37% POLYESTER 14% SPANDEX KNIT,SUMMER,SWIMWEAR,RALLY RACERS,WOMEN,active,2018,6112410000,2177SFA01_blue
2178SUN01,3 Level Product Style,2178SUN01,active,Maaji,SWIMWEAR > WOMENS UNDERWIRE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,HIDDEN LAGOON,WOMEN,active,2018,6112410000,2178SUN01_blue
2179SSE01,3 Level Product Style,2179SSE01,active,Maaji,SWIMWEAR > WOMENS SLIDING TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 83% NYLON 17% SPANDEX KNIT,SUMMER,SWIMWEAR,SUNNY RIDES,WOMEN,active,2018,6112410000,2179SSE01_blue
2180SFT01,3 Level Product Style,2180SFT01,active,Maaji,SWIMWEAR > WOMENS FIXED TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,AMERICAN FLAMINGOS,WOMEN,active,2018,6112410000,2180SFT01_blue
2181SBA01,3 Level Product Style,2181SBA01,active,Maaji,SWIMWEAR > WOMENS BANDEAU,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 54% NYLON 30% POLYESTER 16% SPANDEX KNIT,SUMMER,SWIMWEAR,WHEELS AND FRILLS,WOMEN,active,2018,6112410000,2181SBA01_blue
2183SCT01,3 Level Product Style,2183SCT01,active,Maaji,SWIMWEAR > WOMENS CROP TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 92% NYLON 8% SPANDEX KNIT,SUMMER,SWIMWEAR,SECOND NATURE,WOMEN,active,2018,6112410000,2183SCT01_orange
2184SBA01,3 Level Product Style,2184SBA01,active,Maaji,SWIMWEAR > WOMENS BANDEAU,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 85% NYLON 15% SPANDEX KNIT,SUMMER,SWIMWEAR,OASIS GARDEN,WOMEN,active,2018,6112410000,2184SBA01_orange
2186SSP01,3 Level Product Style,2186SSP01,active,Maaji,SWIMWEAR > WOMENS SPORTY TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 74% NYLON 18% POLYESTER 8% SPANDEX KNIT,SUMMER,SWIMWEAR,TEMPO DUSK,WOMEN,active,2018,6112410000,2186SSP01_orange
2187SSF01,3 Level Product Style,2187SSF01,active,Maaji,SWIMWEAR > WOMENS SURF SHORTS,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS SHORT 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,SURFER SCORPION,WOMEN,active,2018,6104630000,2187SSF01_orange
3008SCC02,3 Level Product Style,3008SCC02,active,Maaji,SWIMWEAR > WOMENS CHEEKY CUT,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS BOTTOM SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,SHIMMERING COGNAC CASCADE,WOMEN,active,2018,6112410000,3008SCC02_red
3011SHN01,3 Level Product Style,3011SHN01,active,Maaji,SWIMWEAR > WOMENS HIGH NECK,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 82% NYLON 18% SPANDEX KNIT,SUMMER,SWIMWEAR,BALLERINA HONEYCOMB,WOMEN,active,2018,6112410000,3011SHN01_blue
3012SFH05,3 Level Product Style,3012SFH05,active,Maaji,SWIMWEAR > WOMENS FASHION TOP,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 93% NYLON 7% SPANDEX KNIT,SUMMER,SWIMWEAR,MEDITERRANEAN BLUE ALLURE,WOMEN,active,2018,6112410000,3012SFH05_blue
3042SFH02,3 Level Product Style,3042SFH02,active,Maaji,SWIMWEAR > WOMENS FIXED HALTER,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,METEORITE VALLEY,WOMEN,active,2018,6112410000,3042SFH02_black
3042SFH03,3 Level Product Style,3042SFH03,active,Maaji,SWIMWEAR > WOMENS FIXED HALTER,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 89% NYLON 11% SPANDEX KNIT,SUMMER,SWIMWEAR,MAUVE VALLEY,WOMEN,active,2018,6112410000,3042SFH03_orange
3045SFT04,3 Level Product Style,3045SFT04,active,Maaji,SWIMWEAR > WOMENS FIXED TRIANGLE,default,Colombia,SUMMER 2018,COLOMBIA,WOMENS TOP SWIMWEAR ONE PIECE 87% NYLON 13% SPANDEX KNIT,SUMMER,SWIMWEAR,BALLERINA DELIGHTFUL,WOMEN,active,2018,6112410000,3045SFT04_blue
