lv1_code,product_class_name,name,status,brand,co_online,country_of_origin,description,fabric_care,online_description,online_name,page_description,page_keywords,page_url,short_description,size_fit,tax_class,us_online,category.1.path,category.1.category_set,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1247XPK01,Single Level Product Style,1247XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > OFFICE ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS POCKET 52% NYLON 43% POLYESTER 5% SPANDEX WOVEN,SPRING,ACCESORIES,SECRETS POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518556252/Spring2018/1247XPK01_assorted_9.jpg,1247XPK01_assorted_9,,,,,,,,,,,,,,black,7702781007348,ONE SIZE,45000,COP Price
1251XPK01,Single Level Product Style,1251XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS COSMETIC POCKET 50% POLYESTER 46% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,ASSORTED TRAVEL POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518556984/Spring2018/1251XPK01_assorted_9.jpg,1251XPK01_assorted_9,,,,,,,,,,,,,,blue,7702781007591,ONE SIZE,47000,COP Price
1235XTW01,Single Level Product Style,1235XTW01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS BEACH BLANKET 100% POLYESTER WOVEN,SPRING,ACCESORIES,AMARANT BEACH BLANKET,WOMEN,active,2018,63.07.90.90.00,https://res.cloudinary.com/maaji/image/upload/v1518546832/Spring2018/1235XTW01_red_9.jpg,1235XTW01_red_9,,,,,,,,,,,,,,red,7702781007560,ONE SIZE,130000,COP Price
1238XCP02,Single Level Product Style,1238XCP02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS VISOR 100% POLYESTER WOVEN,SPRING,ACCESORIES,CRYSTAL KNOT VISOR,WOMEN,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1518551729/Spring2018/1238XCP02_1238XCP01_assorted_9.jpg,1238XCP02_assorted_9,,,,,,,,,,,,,,blue,7702781007478,ONE SIZE,63000,COP Price
1238XCP01,Single Level Product Style,1238XCP01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS VISOR 100% POLYESTER WOVEN,SPRING,ACCESORIES,MULATA KNOT VISOR,WOMEN,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1518551729/Spring2018/1238XCP02_1238XCP01_assorted_9.jpg,1238XCP01_assorted_9,,,,,,,,,,,,,,green,7702781007515,ONE SIZE,63000,COP Price
1231XCP03,Single Level Product Style,1231XCP03,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS CAP 92% NYLON 8% SPANDEX WOVEN,SPRING,ACCESORIES,AMAZON CAP,WOMEN,active,2018,65.06.99.00.00,https://res.cloudinary.com/maaji/image/upload/v1518554776/Spring2018/1231XCP01_1231XCP02_1231XCP03_assorted_9.jpg,1231XCP03_assorted_9,,,,,,,,,,,,,,blue,7702781007508,ONE SIZE,63000,COP Price
1231XCP02,Single Level Product Style,1231XCP02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS CAP 85% POLYESTER 14% NYLON 1% SPANDEX WOVEN,SPRING,ACCESORIES,AMARANT MULATA CAP,WOMEN,active,2018,65.06.99.00.00,https://res.cloudinary.com/maaji/image/upload/v1518554776/Spring2018/1231XCP01_1231XCP02_1231XCP03_assorted_9.jpg,1231XCP02_assorted_9,,,,,,,,,,,,,,red,7702781007461,ONE SIZE,63000,COP Price
1237XTC01,Single Level Product Style,1237XTC01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > OFFICE ACCESORIES,default,SPRING 2018,COLOMBIA,COMPUTER CASE 92% NYLON 8% SPANDEX WOVEN,SPRING,ACCESORIES,AMAZON COMPUTER CASE,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1518551080/Spring2018/1237XTC01_blue_9.jpg,1237XTC01_blue_9,,,,,,,,,,,,,,blue,7702781009113,ONE SIZE,63000,COP Price
1253XPK01,Single Level Product Style,1253XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,CARD KEEPER 50% POLYESTER 46% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,CARD KEEPER,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518558670/Spring2018/1253XPK01_assorted_9.jpg,1253XPK01_assorted_9,,,,,,,,,,,,,,blue,7702781009120,ONE SIZE,19000,COP Price
1258XPK01,Single Level Product Style,1258XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS POCKET 50% POLYESTER 46% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,WET BIKINI POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700894/Summer2018/1258XPK01_assorted_9.jpg,1258XPK01_assorted_9,,,,,,,,,,,,,,red,7702781009137,ONE SIZE,45000,COP Price
1248XPK01,Single Level Product Style,1248XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS COSMETIC POCKET 50% NYLON 46% POLYESTER 4% SPANDEX WOVEN,SPRING,ACCESORIES,COCONUT POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518559105/Spring2018/1248XPK01_assorted_9.jpg,1248XPK01_assorted_9,,,,,,,,,,,,,,blue,7702781011079,ONE SIZE,30000,COP Price
1229XWK01,Single Level Product Style,1229XWK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > WEEKENDER ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS BAG 90% POLYESTER 5% COTTON 5% VISCOSE WOVEN,SPRING,ACCESORIES,HERITAGE LOVELY WEEKENDER,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1518543413/Spring2018/1229XWK01_blue_9.jpg,1229XWK01_blue_9,,,,,,,,,,,,,,blue,7702781009106,ONE SIZE,250000,COP Price
1257XHA01,Single Level Product Style,1257XHA01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > HAIR ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS HAIR BANDS 92% NYLON 8% SPANDEX KNIT,SPRING,ACCESORIES,ASSORTED SCRUNCHIES,WOMEN,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1518558859/Spring2018/1257XHA01_assorted_9.jpg,1257XHA01_assorted_9,,,,,,,,,,,,,,black,7702781011086,ONE SIZE,22000,COP Price
1255XHA01,Single Level Product Style,1255XHA01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,BEACH TURBAN 92% NYLON 8% SPANDEX KNIT,SPRING,ACCESORIES,ASSORTED GIRLY TURBAN,WOMEN,active,2018,61.17.80.90.00,https://res.cloudinary.com/maaji/image/upload/v1518555324/Spring2018/1255XHA01_assorted_9.jpg,1255XHA01_assorted_9,,,,,,,,,,,,,,blue,77027810111097,ONE SIZE,30000,COP Price
1252XPK01,Single Level Product Style,1252XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS COSMETIC POCKET 50% POLYESTER 46% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,ASSORTED BEAUTY POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518557173/Spring2018/1252XPK01_assorted_9.jpg,1252XPK01_assorted_9,,,,,,,,,,,,,,green,702781011123,ONE SIZE,30000,COP Price
1241XTE01,Single Level Product Style,1241XTE01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,WOMENS TOTE 50% POLYESTER 43% COTTON 7% LINEN WOVEN,SPRING,ACCESORIES,REAL MERMAID TOTE,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1518547386/Spring2018/1241XTE01_white_9.jpg,1241XTE01_white_9,,,,,,,,,,,,,,white,7702781011482,ONE SIZE,97000,COP Price
1245XVR01,Single Level Product Style,1245XVR01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS TOTE 100% POLYESTER WOVEN,SPRING,ACCESORIES,ROLL ME UP,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1518549460/Spring2018/1245XVR01_blue_9.jpg,1245XVR01_blue_9,,https://res.cloudinary.com/maaji/image/upload/v1518549691/Spring2018/1245XVR01_blue_10.jpg,1245XVR01_blue_10,,,,,,,,,,,blue,7702781011499,ONE SIZE,71000,COP Price
1232XPK01,Single Level Product Style,1232XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS POCKET 75% NYLON 18% POLYESTER 7% SPANDEX WOVEN,SPRING,ACCESORIES,ASSORTED DOUBLE POCKET,WOMEN,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1518555890/Spring2018/1232XPK01_assorted_9.jpg,1232XPK01_assorted_9,,,,,,,,,,,,,,black,7702781011505,ONE SIZE,53000,COP Price
1249XVR01,Single Level Product Style,1249XVR01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,SPORTS BAG 92% NYLON 8% SPANDEX KNIT,SPRING,ACCESORIES,DRAWSTRING BAG,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1518557603/Spring2018/1249XVR01_assorted_9.jpg,1249XVR01_assorted_9,,https://res.cloudinary.com/maaji/image/upload/v1518557603/Spring2018/1249XVR01_assorted_10.jpg,1249XVR01_assorted_10,,https://res.cloudinary.com/maaji/image/upload/v1518557604/Spring2018/1249XVR01_assorted_11.jpg,1249XVR01_assorted_11,,,,,,,,blue,7702781011512,ONE SIZE,60000,COP Price
1233XTW01,Single Level Product Style,1233XTW01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > ACCESORIES BEACH,default,SPRING 2018,COLOMBIA,BEACH TOWEL 100% POLYESTER WOVEN,SPRING,ACCESORIES,CRYSTAL BLUE BEACH TOWEL,WOMEN,active,2018,63.02.93.00.00,https://res.cloudinary.com/maaji/image/upload/v1518547120/Spring2018/1233XTW01_blue_9.jpg,1233XTW01_blue_9,,,,,,,,,,,,,,blue,7702781011529,ONE SIZE,100000,COP Price
1244XPK01,Single Level Product Style,1244XPK01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS ORGANIZER 100% POLYESTER WOVEN,SPRING,ACCESORIES,FESTIVAL BIKINI BAG,WOMEN,active,2018,42.02.12.10.00,https://res.cloudinary.com/maaji/image/upload/v1518550078/Spring2018/1244XPK01_assorted_9.jpg,1244XPK01_assorted_9,,,,,,,,,,,,,,red,7702781011536,ONE SIZE,47000,COP Price
1242XTR02,Single Level Product Style,1242XTR02,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS TOTE 48% LYOCELL 48% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,DENIM MAAJICAL TOTE,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1518543413/Spring2018/1242XTR02_blue_9.jpg,1242XTR02_blue_9,,,,,,,,,,,,,,blue,7702781012656,ONE SIZE,184000,COP Price
1242XTR01,Single Level Product Style,1242XTR01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS TOTE 48% COTTON 48% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,CANVAS MAAJICAL TOTE,WOMEN,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1518543414/Spring2018/1242XTR01_black_9.jpg,1242XTR01_black_9,,,,,,,,,,,,,,black,7702781012663,ONE SIZE,184000,COP Price
1243XBP01,Single Level Product Style,1243XBP01,active,Maaji,,Colombia,,,,,,,,,,,,ACCESORIES > TRAVEL ACCESORIES,default,SPRING 2018,COLOMBIA,WOMENS BACKPACK 50% COTTON 46% NYLON 4% SPANDEX WOVEN,SPRING,ACCESORIES,CANVAS BACKPACK,WOMEN,active,2018,42.02.92.00.00,https://res.cloudinary.com/maaji/image/upload/v1518544243/Spring2018/1243XBP01_black_9.jpg,1243XBP01_black_9,,,,,,,,,,,,,,black,7702781012670,ONE SIZE,156000,COP Price
